CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
DBC,2025,3,9226686008323,613052876723,1885909938569,1037032615308,5586894551200,103796026523,6335180467209,4441743331424,103666733163,113539337533,0,148237136539,15561866475532,7641384609736,6460726216322,1180658393414,7920481865796,7920481865796,0,1361120459592,0,1049800000,15561866475532,545888576182,5586894551200,17189184543,1888123713983,3848666670000,3848666670000,1022249175790,272465297149,4788257469532,0,126338555211,0,37039681304,37039681304
DBC,2025,2,8380535729771,363518450456,1681023000347,535860600104,5683788925358,116344753506,6193900685581,4564708087252,105625646997,113539337533,0,152105888715,14574436415352,6996910118727,6088959953189,907950165538,7577526296625,7577526296625,0,1520140110130,0,1049800000,14574436415352,173292338329,5683788925358,33109508801,1888123714274,3346691450000,3346691450000,746626176250,257797097425,4193024918565,0,130207307387,0,40161203609,40161203609
DBC,2025,1,8227485827184,570452137703,1380278872130,576821528472,5607673930108,92259358771,6183532290410,4659608267705,107067894165,116130417629,0,151112568407,14411018117594,7176628149530,6240410452588,936217696942,7234389968064,7234389968064,0,1240248824315,0,1049800000,14411018117594,234388110705,5607673930108,15650146970,1824878671528,3346691450000,3346691450000,780752694502,234464813995,4711090825224,0,128683064861,0,38827323609,38827323609
DBC,2024,4,7838139952903,439331953874,1370890520510,402126060200,5516781758000,109009660319,6283415874694,4789772451065,109001808000,116130417629,0,146208603643,14121555827597,7355476127696,6420694102809,934782024887,6766079699901,6766079699901,0,771988355861,0,1000000000,14121555827597,104799300518,5516781758000,16144217702,1824878671819,3346691450000,3346691450000,764296861397,207417787622,4928462261794,0,123779100097,0,38827323609,38827323609
DBC,2024,3,8035757929498,541033612803,1343155999497,604692154815,5452642340825,94233821558,6034004991564,4848920890077,0,117238338559,0,130894934600,14069762921062,7542553578748,6449101062420,1093452516328,6527209342314,6527209342314,0,533117998565,0,1000000000,14069762921062,247856519954,5452642340825,17126350694,1824878671528,3346691450000,3346691450000,925899347847,246391924856,4758988212269,0,125124449428,0,34360746999,34360746999
DBC,2024,2,7385113088540,524315781593,520745054146,423948466106,5827218479921,88885306774,5941169058170,4959717036890,0,117238338559,0,132823958327,13326282146710,8441004341944,7354493380651,1086510961293,4885277804766,4885277804766,0,220947551017,0,1000000000,13326282146710,117245000296,5827218479921,17620421426,1824878671528,2420018590000,2420018590000,917682890098,210315341487,5748936229146,0,127053473155,0,34360746999,34360746999
DBC,2024,1,6648534125163,357618320425,493367826465,452496415397,5250293087580,94758475296,5863286262600,5044259074000,0,119560794629,0,120794997088,12511820387763,7772977820309,6546473863503,1226503956806,4738842567454,4738842567454,0,100519507920,0,0,12511820387763,157797944073,5255859609412,19930024273,1799871477313,2420018590000,2420018590000,1050330204441,275297691993,4506845076249,0,120794997088,0,36351922000,36351922000
DBC,2023,4,7159065473836,592137027608,489883400931,424294692650,5552256326305,100494026342,5852638784036,5148429144344,0,119560794629,0,72097180547,13011704257872,8345469400718,7141605466044,1203863934674,4666234857154,4666234857154,0,27911797620,0,0,13011704257872,140399580900,5557822848137,19951280564,1799871477313,2420018590000,2420018590000,1026414552256,221365130349,4840720809254,0,72097180547,0,36857580999,36857580999
DBC,2023,3,6328572697729,319675230727,552181457182,631000758453,4718066991894,107648259473,5895488881981,5236624636009,0,121268960072,0,54392511226,12224061579710,7564278783579,6199925778197,1364353005382,4659782796131,4659782796131,0,21459736597,0,0,12224061579710,310777013800,4723633513726,18240630076,1799871477313,2420018590000,2420018590000,1145968982025,221020755939,3887394653403,0,54392511226,0,25678466510,25678466510
DBC,2023,2,6533267938715,397272722190,550577354694,434096975401,5044331811437,106989074993,5988054980276,4147587071609,0,111268960072,0,110305241115,12521322918991,7874003796220,6776222166371,1097781629849,4647319122771,4647319122771,0,8996062946,0,0,12521322918991,133782693089,5049898333269,18262388410,1799871477604,2420018590000,2420018590000,877398402405,122030880244,4332141186992,0,110305241115,0,23178466510,23178466510
