CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
DBC,2025,3,365559168804.0,163499364329.0,0.0,0.0,-24312347436.0,62476462151.0,567222647848.0,-532749494451.0,96894374158.0,-448097911012.0,2922891544.0,-72192893049.0,-7756351475.0,183905826968.0,-2179058077.0,-212029967546.0,-316387560892.0,-18250306503.0,-130846938222.0,-74040000000.0,59949586131.0,2591080096.0,31285590933.0,-445698548457.0,502025020000.0,3868743912914.0,-2927620789628.0,-33909981016.0,-501975220000.0,907262942270.0,249534426267.0,363518450456.0,0.0,613052876723.0
DBC,2025,2,536862765824.0,163519487246.0,0.0,-46946278.0,-10961262938.0,65178049787.0,754552093641.0,64854304328.0,-76114995250.0,233301507327.0,-9287278903.0,-64455094901.0,-4201689494.0,-23905826968.0,-1000000000.0,873743019780.0,-160843345294.0,18798336048.0,-374784128217.0,74040000000.0,-59949586131.0,0.0,10614886963.0,-492123836631.0,-49800000.0,3118172703119.0,-3669360388370.0,-37362331423.0,0.0,-588599816674.0,-206980633525.0,570452137703.0,46946278.0,363518450456.0
DBC,2025,1,536280177146.0,164135866726.0,0.0,0.0,-18338703420.0,69258501871.0,751335842323.0,-172041860263.0,-90892172108.0,39416950253.0,9231607812.0,-70945550633.0,-89370725892.0,40000000000.0,-35254937000.0,381479154492.0,-58404639961.0,0.0,-9388351620.0,0.0,0.0,0.0,18299824383.0,-49493167198.0,49800000.0,2583406737628.0,-2752146636032.0,-32175705061.0,0.0,-200865803465.0,131120183829.0,439331953874.0,0.0,570452137703.0
DBC,2024,4,266603088259.0,165497467536.0,0.0,1358074100.0,-20332367537.0,69097129592.0,482223391950.0,186148948832.0,-5480272595.0,270974684238.0,-10199946864.0,-22373891768.0,-596584680.0,0.0,-3019160000.0,897677169113.0,-273873425487.0,5493714390.0,-84169025294.0,56434504281.0,0.0,-2322456070.0,13050296451.0,-285386391729.0,-1000000000.0,3274322179233.0,-3959160667815.0,-27211226942.0,0.0,-713049715524.0,-100758938140.0,541033612803.0,-942720789.0,439331953874.0
DBC,2024,3,331037140304.0,156020697226.0,0.0,-672032258.0,-4381252356.0,72439096088.0,554443649004.0,-125434671957.0,389353631894.0,-600567650572.0,-652600322.0,-119138884372.0,-2066119081.0,0.0,-2695120000.0,93242234594.0,-302949419648.0,611818182.0,-807773123462.0,-14637821889.0,0.0,2322456070.0,-136365816.0,-1122562456563.0,1330761090000.0,2904987115997.0,-3148652608670.0,-41729576406.0,0.0,1045366020921.0,16045798952.0,524315781593.0,672032258.0,541033612803.0
DBC,2024,2,157212712905.0,162817189828.0,-5566521832.0,-61738704.0,-6121480916.0,78600762332.0,386880923613.0,-27465441126.0,-587382927824.0,202246388080.0,-5601814169.0,-49981208742.0,29155853219.0,0.0,0.0,-52148226949.0,-176348131700.0,0.0,-42015049570.0,14637821889.0,0.0,0.0,9401960289.0,-194323399092.0,0.0,4109505627592.0,-3680096656039.0,-16301623048.0,0.0,413107348505.0,166635722464.0,357618320425.0,61738704.0,524315781593.0
DBC,2024,1,99395604736.0,154872388988.0,0.0,-55564165.0,-5083184190.0,43531561314.0,292660806683.0,-28908142876.0,260162448658.0,-197893235290.0,12212835122.0,-72130485789.0,-64896992505.0,0.0,-14157433000.0,187049801003.0,-117124576080.0,0.0,-3484425534.0,0.0,0.0,0.0,8945010083.0,-111663991531.0,0.0,3306757452136.0,-3559211424759.0,-57506108197.0,0.0,-309960080820.0,-234574271348.0,592137027608.0,55564165.0,357618320425.0
DBC,2023,4,14745607258.0,161194368970.0,0.0,21931955.0,-11298266810.0,63180179999.0,227843821372.0,217296452985.0,-834189334411.0,-52652346379.0,-21644636066.0,-67144248922.0,-3912318552.0,0.0,-1918690000.0,-536321299973.0,-103302236670.0,201129564.0,33783938726.0,28514117525.0,0.0,1708165443.0,14128188139.0,-24966697273.0,0.0,3712274348408.0,-2831138168699.0,-47364453627.0,0.0,833771726082.0,272483728836.0,319675230727.0,-21931955.0,592137027608.0
DBC,2023,3,23473047238.0,126053315499.0,0.0,-62029021.0,-8256437332.0,82913923987.0,224121820372.0,-187742837299.0,343601586561.0,-145265373811.0,55064503020.0,-154897384072.0,-4777127317.0,0.0,-10067260000.0,120037927454.0,-101311562586.0,-848239247.0,-39945284963.0,28341182475.0,0.0,3057285223.0,3364854418.0,-107341764680.0,0.0,3159928221042.0,-3265235683760.0,14951779459.0,0.0,-90355683259.0,-77659520485.0,397272722190.0,62029022.0,319675230727.0
DBC,2023,2,370431518303.0,125749762831.0,-3245580624.0,-47936295.0,-10359976267.0,47696716855.0,530224504802.0,128255843653.0,-304536133923.0,7398270977.0,19987576984.0,10795102991.0,-7676475821.0,0.0,-3633390000.0,380815299663.0,-78939842763.0,931557429.0,40260190875.0,-26441182475.0,0.0,0.0,8207483191.0,-55981793743.0,0.0,3173829362929.0,-3174717847157.0,-76335547603.0,0.0,-77224031831.0,247609474089.0,149615311807.0,47936294.0,397272722190.0
DBC,2023,1,-310900961447.0,128984109960.0,0.0,0.0,-6178854762.0,68667449438.0,-119428256811.0,277218609.0,470553240197.0,-1018146890973.0,-6251563858.0,-91308398132.0,-61451454418.0,0.0,-46526000000.0,-872282105386.0,-161864702098.0,154545454.0,-121513036027.0,62000000000.0,0.0,0.0,6024309308.0,-215198883363.0,0.0,2615438451688.0,-1978358012834.0,-26995918408.0,0.0,610084520446.0,-477396468303.0,627011780110.0,0.0,149615311807.0
DBC,2022,4,-48589320272.0,120894335535.0,8812102456.0,15255879.0,130001860168.0,48351517211.0,259485750977.0,-45622477400.0,-604405434116.0,873682414215.0,-29101318381.0,-71268147524.0,-12689112692.0,0.0,-8625800000.0,361455875079.0,-409248774623.0,129629632.0,-1135633858.0,18952723171.0,-9008821301.0,-1089531074.0,11011852545.0,-390388555508.0,0.0,2145567978115.0,-1682696045016.0,-35565455307.0,-10524806601.0,416781671191.0,387848990762.0,239178045227.0,-15255879.0,627011780110.0
DBC,2022,3,250435759078.0,119391586652.0,0.0,218.0,47358269301.0,39957952432.0,457143567681.0,30012422548.0,276251912783.0,-792731588295.0,13163180514.0,-45752667318.0,-18555439380.0,47490604000.0,14724171.0,-32963283296.0,-331282874845.0,0.0,55792861351.0,-55500000000.0,0.0,1089531074.0,980597323.0,-328919885097.0,0.0,2511304460002.0,-2073533225582.0,-17149155710.0,0.0,420622078710.0,58738910317.0,180439135130.0,-220.0,239178045227.0
DBC,2022,2,29832199957.0,131261905770.0,0.0,15431891.0,-8659986812.0,48173008766.0,200622559572.0,5772958803.0,-314011105588.0,301249724199.0,-15649236239.0,-39577779894.0,-9441313996.0,0.0,-4477605001.0,124488201856.0,-207284965287.0,0.0,-55591491270.0,87925726580.0,0.0,0.0,11299752605.0,-163650977372.0,0.0,2150191733507.0,-2137231754858.0,-22056311007.0,0.0,-9096332358.0,-48259107874.0,228713674893.0,-15431889.0,180439135130.0
DBC,2022,1,25274833056.0,127489828781.0,0.0,0.0,-4857923903.0,46314181169.0,194220919103.0,-95270697777.0,75325644550.0,-140486273757.0,7668442038.0,-55717567578.0,-70347491453.0,0.0,-28585009000.0,-113192033874.0,-349693791655.0,309090909.0,-15844700000.0,37600000000.0,0.0,0.0,4145651993.0,-323483748753.0,0.0,2349526192318.0,-1861715325767.0,-22478498335.0,0.0,465332368216.0,28656585589.0,200057089304.0,0.0,228713674893.0
DBC,2021,4,163676774643.0,126041340418.0,0.0,13982660.0,-4166506407.0,45720646033.0,331286237347.0,-29061542936.0,49228598634.0,-243235810018.0,4463225506.0,-44499391057.0,-53140119934.0,0.0,-4571050000.0,10470147542.0,-60055524690.0,253290136.0,-33187048531.0,0.0,-2904603405.0,0.0,8276007614.0,-87617878876.0,0.0,2073740074013.0,-1719605092011.0,-31638287963.0,-219963493400.0,102533200639.0,25385469305.0,174685602659.0,-13982660.0,200057089304.0
DBC,2021,3,168838746451.0,125330808247.0,0.0,0.0,-9250944558.0,40161261533.0,325079871673.0,-90657936055.0,-118694929451.0,20771467807.0,26705393305.0,-40206270662.0,-20954568829.0,0.0,-3448180000.0,98594847788.0,-87772049766.0,314216631.0,-18541428885.0,0.0,0.0,0.0,4505780168.0,-101493481852.0,0.0,1874881413046.0,-1824132889343.0,-29344134969.0,0.0,21404388734.0,18505754670.0,156179847989.0,0.0,174685602659.0
DBC,2021,2,239196959812.0,119324647976.0,0.0,2845408.0,-4437648678.0,48677057393.0,402763861911.0,67795940036.0,-401251317251.0,596215431090.0,-1912200931.0,-40312448616.0,-12232427962.0,0.0,-4827858000.0,606238980277.0,-53281357744.0,114130838.0,-6639779147.0,0.0,0.0,0.0,8623523270.0,-51183482783.0,0.0,1231031011427.0,-1894766350195.0,-35142528061.0,0.0,-698877866829.0,-143822369335.0,300005062732.0,-2845408.0,156179847989.0
DBC,2021,1,407972133547.0,121033583551.0,0.0,0.0,-2359959241.0,47724311307.0,574370069164.0,-31701716389.0,-378873363193.0,-33746128997.0,6047537388.0,-66719325885.0,-114200237921.0,0.0,-39676714000.0,-84499879833.0,-118332532054.0,3387991205.0,-13000000000.0,20000000000.0,0.0,0.0,7990776376.0,-99953764473.0,0.0,2107306944144.0,-1841856648543.0,-25240194806.0,0.0,240210100795.0,55756456489.0,244248606243.0,0.0,300005062732.0
DBC,2020,4,323150569627.0,124060280937.0,0.0,-68753654.0,-8949935331.0,63882363410.0,502074524989.0,27116329731.0,133769105129.0,276789346357.0,13335585196.0,-69686185524.0,-28092867028.0,0.0,-7391200000.0,847914638850.0,-208567487554.0,-32635338.0,-62800659456.0,34792978066.0,-3998088414.0,3068725907.0,8982570669.0,-228554596120.0,0.0,2028670614608.0,-2685170119411.0,-29173956315.0,0.0,-685673461118.0,-66313418388.0,310493270977.0,68753654.0,244248606243.0
DBC,2020,3,427771995570.0,117016578108.0,0.0,0.0,-5426845535.0,71174981967.0,610536710110.0,-58329973843.0,164447268326.0,301327736555.0,13890024410.0,-74239190765.0,-9563125966.0,0.0,-2595250000.0,945474198827.0,-226259961040.0,-1698405680.0,-24275345693.0,29626845345.0,-15000000000.0,0.0,2584437517.0,-235022429551.0,0.0,960960975047.0,-1348877179665.0,-38251086945.0,-157145866500.0,-583313158063.0,127138611213.0,183354659764.0,0.0,310493270977.0
DBC,2020,2,428441791242.0,113102106185.0,0.0,1638486.0,-9888119587.0,91827442016.0,623484858342.0,189132965190.0,-278679872252.0,-55657306098.0,-33079314874.0,-91118020864.0,-122470840.0,0.0,-901986385.0,353058852219.0,-128591705397.0,3309976567.0,-10217019825.0,0.0,0.0,0.0,9962253675.0,-125536494980.0,0.0,1517015614415.0,-1639197893858.0,-29513176282.0,-45549914000.0,-197245369725.0,30276987514.0,153079310736.0,-1638486.0,183354659764.0
DBC,2020,1,374608977864.0,111724872701.0,0.0,0.0,-5210570519.0,82934540865.0,564057820911.0,-97737319799.0,-222714451444.0,22191744161.0,-28334214828.0,-80561480448.0,-13916317349.0,0.0,-26683500000.0,116302281204.0,-138029556656.0,454545455.0,-8040780800.0,0.0,0.0,0.0,5157627467.0,-140458164534.0,0.0,1907744182847.0,-1866051590093.0,-29743974475.0,0.0,11948618279.0,-12207265051.0,165286575787.0,0.0,153079310736.0
