CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông của Công ty mẹ
DBC,2025,3,0.3650185509236558,5021582371423,342955569172,0.09861638583988777,17024088901,-62476462151,5021582371423,-180336602181,4841245769242,-4189079581729,652166187513,-62629245975,0,-127798881174,-116823882473,361938266792,4054282829,-433380817,3620902012,365559168804,-22603599632,0,342955569172,342955569172
DBC,2025,2,0.20542380495860288,3848334633068,506971328560,2.485890620099737,21074765594,-65178049787,3848334633068,-28238790352,3820095842716,-2995032152516,825063690200,-65781175600,-2591080096,-128271489921,-117002630566,532492079611,5199170444,-828484231,4370686213,536862765824,-29360515046,-530922218,506971328560,506971328560
DBC,2025,1,0.12164019616896353,3749983188604,508260468164,6.0000894679638455,18846004047,-69258501871,3749983188604,-140632852370,3609350336234,-2792163520507,817186815727,-69341921196,0,-128378572272,-107051633580,531260692726,5367070283,-347585863,5019484420,536280177146,-28019708982,0,508260468164,508260468164
DBC,2024,4,0.22774161095297704,3386263868202,238870357295,36.022333862541956,20535307436,-69097129592,3386263868202,224970280278,3611234148480,-3080759137618,530475010862,-70681624773,-1107920930,-121289309194,-100908014272,257023449129,10492978900,-913339770,9579639130,266603088259,-44391749338,16659018374,238870357295,238870357295
DBC,2024,3,0.30122672729040234,3678764928158,312170447840,24.04642343269801,6818699242,-71991440880,3678764928158,-153736747454,3525028180704,-2901413800939,623614379765,-72903837760,0,-126086728198,-100123493522,331319019527,1139896039,-1421775262,-281879223,331037140304,-18866692464,0,312170447840,312170447840
DBC,2024,2,-0.07325765219355307,3192515874697,145435237020,-0.5549989602460635,4720626723,-78600762332,3192515874697,-7846655238,3184669219459,-2754155131685,430514087774,-80206799362,-322456070,-111428500609,-94025334680,149251623776,7976691176,-15602047,7961089129,157212712905,-17547961057,5770485172,145435237020,145435237020
DBC,2024,1,0.3918401857877443,3343303138932,72607710300,1.2263836938752666,7138748355,-43531561314,3343303138932,-90711455677,3252591683255,-2903749937421,348841745834,-50852845689,0,-110294319794,-96662970512,98170358194,2017127682,-791881140,1225246542,99395604736,-26787894436,0,72607710300,72607710300
DBC,2023,4,-0.09311096126606994,2758124216034,6452061023,1.0815241361541308,11098650074,-63180179999,2758124216034,-144142479188,2613981736846,-2372289521031,241692215815,-70436345233,-1708165443,-74996579777,-107213348221,-1563572785,17821830525,-1512650482,16309180043,14745607258,-8293546235,0,6452061023,6452061023
DBC,2023,3,-0.22866340226618004,2827151372627,12463673653,-0.9396006131196423,6840884311,-60983930991,2827151372627,-117900497321,2709250875306,-2428437913374,280812961932,-69508394011,0,-110228428818,-85839659470,22077363944,1430664430,-34981135,1395683295,23473047239,-11009373586,0,12463673653,12463673653
DBC,2023,2,0.15649442596626534,3444879671522,326819993725,21.90808547110256,9812892676,-47696716855,3444879671522,28190547943,3473070219465,-2810865275838,662204943627,-71152998548,-1057285223,-149573647973,-80860044547,369373860012,1085627852,-27969561,1057658291,370431518303,-43611524578,0,326819993725,326819993725
