CP,Năm,Kỳ,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Cổ tức đã trả
VCB,2025,3,37554000000,13260522000000,81932953000000,-386371000000,-464524000000,94521000000,-364267000000,0,0,81182315000000,454996790000000,0,536179105000000,81546582000000,6107000000,0,0,0
VCB,2025,2,-57261000000,9933187000000,38500239000000,-582937000000,-194907000000,12103000000,-179204000000,0,0,37738098000000,417258692000000,0,454996790000000,37917302000000,3754000000,0,0,0
VCB,2025,1,-98301000000,3115299000000,-12003988000000,-1176607000000,-186147000000,9703000000,-174898000000,0,0,-13355493000000,430614185000000,0,417258692000000,-13180595000000,1678000000,0,0,0
VCB,2024,4,-343813000000,10425121000000,117759748000000,-646942000000,-531176000000,24710000000,-501783000000,0,-19963000000,116591060000000,314023125000000,0,430614185000000,117112806000000,5492000000,0,0,-19963000000
VCB,2024,3,-200194000000,9114456000000,-14569759000000,-646859000000,-457907000000,10299000000,-444866000000,0,0,-15661484000000,329684609000000,0,314023125000000,-15216618000000,3030000000,0,0,0
VCB,2024,2,-644026000000,10302421000000,20739737000000,-338608000000,-358137000000,125022000000,-230230000000,0,0,20170899000000,309513710000000,0,329684609000000,20401129000000,2282000000,0,747000000,0
VCB,2024,1,-202525000000,341880000000,-61930169000000,-1244317000000,-132901000000,678000000,-130534000000,0,0,-63305020000000,372818730000000,0,309513710000000,-63174486000000,1700000000,0,0,0
VCB,2023,4,-345755000000,7123781000000,9212451000000,-401036000000,-621249000000,-6064000000,-630093000000,0,-15627000000,8165695000000,363661434000000,0,371827129000000,8811415000000,3458000000,0,0,-15627000000
VCB,2023,3,-26705000000,14093284000000,39263273000000,-1159787000000,-107205000000,115942000000,11042000000,0,0,38114528000000,325546906000000,0,363661434000000,38103486000000,2487000000,0,0,0
VCB,2023,2,-132508000000,14515179000000,-133890474000000,-143877000000,-205830000000,13746000000,-190988000000,0,0,-134225339000000,459772245000000,0,325546906000000,-134034351000000,1419000000,0,0,0
VCB,2023,1,684356000000,9438386000000,48679302000000,-1092983000000,-73876000000,22464000000,-49368000000,0,0,47536951000000,412235294000000,0,459772245000000,47586319000000,2071000000,0,0,0
VCB,2022,4,-139817000000,9159766000000,122957794000000,-479184000000,-640541000000,2676000000,-633936000000,0,-18798000000,121825876000000,290363772000000,0,412189648000000,122478610000000,5462000000,0,1000000,-18798000000
VCB,2022,3,-86019000000,12553919000000,11317452000000,-701131000000,-3123000000,89800000000,290773000000,0,0,10907094000000,279456678000000,0,290363772000000,10616321000000,4575000000,0,200034000000,0
VCB,2022,2,-63413000000,12303964000000,67950852000000,-288959000000,-45514000000,12382000000,-31080000000,0,0,67630813000000,211825865000000,0,279456678000000,67661893000000,2768000000,0,0,0
VCB,2022,1,-62483000000,9697992000000,-16312101000000,-1069379000000,-22389000000,2196000000,-17426000000,0,-3329224000000,-20728130000000,232553995000000,0,211825865000000,-17381480000000,2948000000,0,1864000000,-3329224000000
VCB,2021,4,-127960000000,8035541000000,-10925973000000,-623700000000,-1107915000000,66374000000,-1024288000000,0,-1138679000000,-13712640000000,248038773000000,0,234326133000000,-11549673000000,3736000000,0,13791000000,-1138679000000
VCB,2021,3,-177216000000,7964389000000,35653804000000,-611986000000,-156512000000,17412000000,-221326000000,0,0,34820492000000,213218281000000,0,248038773000000,35041818000000,1653000000,-83502000000,0,0
VCB,2021,2,-120801000000,10419771000000,-19869154000000,-1553663000000,-293503000000,1780000000,-290395000000,0,0,-21713212000000,234931493000000,0,213218281000000,-21422817000000,1663000000,0,0,0
VCB,2021,1,-100199000000,5969277000000,-55840207000000,-1009299000000,-63503000000,8278000000,-54084000000,0,-747619000000,-57651209000000,292582702000000,0,234931493000000,-56849506000000,1356000000,0,0,-747619000000
VCB,2020,4,-819357000000,8917705000000,108637780000000,-413896000000,-1980809000000,16990000000,-1870550000000,0,-2238496000000,104114838000000,189839513000000,0,293954351000000,108223884000000,6063000000,0,89696000000,-2238496000000
VCB,2020,3,66727000000,5180211000000,-19683718000000,-413341000000,-586045000000,2066000000,-582785000000,0,0,-20679844000000,210519357000000,0,189839513000000,-20097059000000,1380000000,0,1000000,0
VCB,2020,2,43816000000,8115621000000,24563932000000,-203580000000,-390239000000,2595000000,129537000000,0,-747619000000,23742270000000,186777087000000,0,210519357000000,24360352000000,1922000000,0,515577000000,-747619000000
VCB,2020,1,80163000000,7294900000000,-84621477000000,-838703000000,-44809000000,10732000000,-33268000000,0,0,-85493448000000,272270535000000,0,186777087000000,-85460180000000,867000000,0,0,0
