CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
VIC,2025,3,4024377000000.0,9008611000000.0,787212000000.0,877376000000.0,0.0,-34836687000000.0,9027158000000.0,0.0,-11111953000000.0,18933777000000.0,-52100255000000.0,59767396000000.0,-1844021000000.0,-7101369000000.0,-602411000000.0,0.0,7940584000000.0,-26016418000000.0,383591000000.0,-4061682000000.0,11284465000000.0,-65173100000000.0,31734152000000.0,347157000000.0,-51501835000000.0,246100000000.0,0.0,90020118000000.0,-47970031000000.0,85334000000.0,-870482000000.0,41511039000000.0,-2050212000000.0,74759825000000.0,-558894000000.0,72150719000000.0
VIC,2025,2,3777060000000.0,5944211000000.0,1157779000000.0,633114000000.0,0.0,1699406000000.0,7614201000000.0,0.0,20825771000000.0,-3407884000000.0,-16304160000000.0,109954141000000.0,-937247000000.0,-6231654000000.0,-15177042000000.0,0.0,88222505000000.0,-29926382000000.0,354701000000.0,-17423096000000.0,2138007000000.0,-36426535000000.0,3655947000000.0,1222227000000.0,-76405131000000.0,492266000000.0,0.0,66880997000000.0,-37373466000000.0,-85334000000.0,-22844000000.0,29891619000000.0,41708993000000.0,32491938000000.0,558894000000.0,74759825000000.0
VIC,2025,1,7381863000000.0,7049131000000.0,4909756000000.0,408606000000.0,0.0,-3818552000000.0,6102357000000.0,0.0,22033161000000.0,5554418000000.0,2652830000000.0,-44698830000000.0,1875827000000.0,-5853488000000.0,-1165946000000.0,0.0,-17473778000000.0,-12883907000000.0,250577000000.0,-8628702000000.0,3274341000000.0,-2837438000000.0,3792505000000.0,403882000000.0,-16628742000000.0,1210662000000.0,0.0,63585814000000.0,-40784384000000.0,0.0,0.0,24012092000000.0,-10090428000000.0,42582366000000.0,0.0,32491938000000.0
VIC,2024,4,5446885000000.0,5586927000000.0,6525747000000.0,1061496000000.0,0.0,-7750752000000.0,6919631000000.0,0.0,17789934000000.0,-28783274000000.0,12787495000000.0,58953183000000.0,1030708000000.0,-7228702000000.0,-3137974000000.0,0.0,50961370000000.0,-21617763000000.0,1982242000000.0,-14199186000000.0,341218000000.0,-9633227000000.0,13255649000000.0,-1517171000000.0,-31388238000000.0,0.0,-10485188000000.0,44866250000000.0,-37884299000000.0,-128800000000.0,-60950000000.0,-3692987000000.0,15880145000000.0,27040242000000.0,-338021000000.0,42582366000000.0
VIC,2024,3,4705397000000.0,6362201000000.0,-77258000000.0,-1655844000000.0,0.0,-7078921000000.0,5608268000000.0,0.0,7863843000000.0,-30693163000000.0,-26215552000000.0,59153241000000.0,-684144000000.0,-5857537000000.0,-6366227000000.0,0.0,-2799539000000.0,-5993785000000.0,-704103000000.0,-1879147000000.0,3956886000000.0,-5611481000000.0,15808715000000.0,121520000000.0,5698605000000.0,20000000000.0,0.0,41070906000000.0,-45625047000000.0,52647000000.0,-5238000000.0,-4486732000000.0,-1587666000000.0,28565428000000.0,62480000000.0,27040242000000.0
VIC,2024,2,4127427000000.0,5513696000000.0,1934051000000.0,1701101000000.0,0.0,-9482575000000.0,5622417000000.0,0.0,9416117000000.0,-27897359000000.0,-1465573000000.0,28599641000000.0,-1841446000000.0,-6353730000000.0,-1316281000000.0,0.0,-858631000000.0,-4200691000000.0,1979228000000.0,-10494354000000.0,6480037000000.0,-8228998000000.0,15096754000000.0,3134788000000.0,3766764000000.0,6017058000000.0,0.0,36439108000000.0,-43336828000000.0,-52647000000.0,0.0,-933309000000.0,1974824000000.0,26653084000000.0,-62480000000.0,28565428000000.0
VIC,2024,1,2493879000000.0,5129418000000.0,2044832000000.0,1461014000000.0,0.0,-18746143000000.0,4829728000000.0,0.0,-2787272000000.0,-7643941000000.0,-8117371000000.0,-1252127000000.0,-1172086000000.0,-4459331000000.0,-1024575000000.0,0.0,-26456703000000.0,-16755198000000.0,1386000000.0,-3886771000000.0,4897667000000.0,-14204624000000.0,34987549000000.0,39773000000.0,5079782000000.0,9621948000000.0,0.0,35329504000000.0,-24304070000000.0,0.0,-600000000000.0,20047382000000.0,-1329539000000.0,27982623000000.0,0.0,26653084000000.0
VIC,2023,4,1305848000000.0,4835484000000.0,3308155000000.0,110488000000.0,0.0,-4366535000000.0,5379584000000.0,0.0,10573024000000.0,-17534405000000.0,-14496120000000.0,27845571000000.0,80953000000.0,-3933120000000.0,-2068549000000.0,0.0,1064986000000.0,-16735129000000.0,520095000000.0,-2989749000000.0,5312541000000.0,-10740911000000.0,15403236000000.0,13058000000.0,-9216859000000.0,1157400000000.0,0.0,47344895000000.0,-27881952000000.0,0.0,-60950000000.0,20559393000000.0,12407520000000.0,16882015000000.0,0.0,29289535000000.0
VIC,2023,3,4475332000000.0,4656409000000.0,1600950000000.0,2508111000000.0,0.0,-389497000000.0,5504380000000.0,0.0,18355685000000.0,-13894893000000.0,144113000000.0,8321954000000.0,-519932000000.0,-3775766000000.0,-4014878000000.0,0.0,4370538000000.0,-15067030000000.0,46964000000.0,-3508513000000.0,1720101000000.0,-13076978000000.0,10539154000000.0,255813000000.0,-19090489000000.0,8350800000000.0,0.0,22652997000000.0,-17905086000000.0,0.0,-85000000.0,13098626000000.0,-1621325000000.0,18445846000000.0,57494000000.0,16882015000000.0
VIC,2023,2,3635529000000.0,4175850000000.0,170083000000.0,490907000000.0,0.0,-3744223000000.0,3194591000000.0,0.0,7922737000000.0,-8152114000000.0,8203276000000.0,-9414420000000.0,-281288000000.0,-3134227000000.0,-1204128000000.0,0.0,-3859038000000.0,-12295347000000.0,210091000000.0,-4871240000000.0,4803102000000.0,-1682130000000.0,12428397000000.0,1022508000000.0,-384619000000.0,1142700000000.0,0.0,32222702000000.0,-28067989000000.0,0.0,0.0,5297413000000.0,1053756000000.0,17449584000000.0,-57494000000.0,18445846000000.0
