## -Phân tích dư nợ cho vay theo ngành

|                                                                                                            | Triệu đồng %       | Triệu đồng   | %      |
|------------------------------------------------------------------------------------------------------------|--------------------|--------------|--------|
| Dư nợ cho vay khách hàng của Ngân hàng                                                                     |                    |              |        |
| Nông Lâm nghiệp, Thủy sản                                                                                  | 8.724.854 1,12     | 6.234.490    | 1,02   |
| Khaikhoáng                                                                                                 | 3.975.824 0,51     | 3178276      | 0,52   |
| - Công nghiệp chế biến, chế tạo SX&PP Điện, Khí đốt, nước                                                  | 124.040.940 15,97  | 98.521.149   | 16,12  |
| nóng, hơi nước và Điều hòa không khí                                                                       | 46.125.259 5,94    | 41.237.247   | 6,75   |
| Cung cấp nước, QL&XL rác thải, nước thải                                                                   | 1.267.073 0,16     | 1.075.745    | 0,18   |
| Xây dựng                                                                                                   | 31.917.958 4,11    | 28.700.450   | 4,70   |
| Bán buôn, bán lẻ; sửa chữa ô tô, xe máy và xe có động cơ khác                                              | 222846289 28,69    | 165.406488   | 27,07  |
| Vận tải, Kho bãi                                                                                           | 25.762.468 3,32    | 16132904     | 2,64   |
| Dịch vụ lưu trú & ăn uống                                                                                  | 16.057.822 2,07    | 11.570.229   | 1,89   |
| Thông tin & Truyền thông                                                                                   | 7.100.447 0,91     | 3.309.515    | 0,54   |
| Hoạt động tài chính, Ngân hàng, Bảo hiểm                                                                   | 7.697.847 0,99     | 1.499.841    | 0,25   |
| Hoạt động kinh doanh Bát động sản                                                                          | 64.141.215 8,26    | 43.268.446   | 7,09   |
| Hoạt động chuyên môn, khoa học & công nghệ                                                                 | 668.318 0,09       | 575.417      | — 0,09 |
| Hoạt động hành chính & Dịch vụ hỗ trợ                                                                      | 1.905.606 0,25     | 924125       | 0,15   |
| Giáo dục & Đào tạo                                                                                         | 1.791.148 0,23     | 1307008      | 0,21   |
| Y tế & hoạt động trợ giúp xã hội                                                                           | S.535.906 0,71     | 4607913      | 0,75   |
| Nghệ thuật, vui chơi, giải trí                                                                             | 2.395.960 0,31     | 2.659.628    | 0,44   |
| Hoạt động dịch vụ khác                                                                                     | 533.019 0,07       | 242.700      | 0,04   |
| Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng |                    |              |        |
| của hộ gia đình                                                                                            | 186.581.816 24,01  | 168.012.507  | 27,49  |
| Cho vay tại Chỉ nhánh và ngân hàng con nước ngoài                                                          | 7.294.348 0,95     | 3.366.269    | 0,55   |
|                                                                                                            | 766.364.117 98,67  | 601.830.347  | 98,49  |
| Các khoản cho vay margin chứng khoán và ứng trước khách hàng tại MBS                                       | 10.293.729 1,33    | 9.218.483    | 1,51   |
|                                                                                                            | 776.657.846 100,00 | 611.048.830  | 100,00 |
