## 10. Tài sản cố định hữu hình

Biến động của tài sản cố định hữu hình cho kỳ kết thúc ngày 31 tháng 12 năm 2024 như sau:

|                            | Nhà cửa và Vật kiên trúc Triệu đồng   | Máy móc thiết bị Triệu đồng   | Phương tiện vận tải và thiết bị truyền dẫn Triệu đông   | TSCĐ hữu hình khác Triệu   | Tổng cộng -   |
|----------------------------|---------------------------------------|-------------------------------|---------------------------------------------------------|----------------------------|---------------|
| Nguyên giá                 |                                       |                               |                                                         | đông                       | Triệu đồng    |
| Sô dư đầu kỳ               | 2.585.504                             | 3.281.185                     | 1.305.572                                               | 560.347                    | 7.732.608     |
| Tăng trong kỳ              | 16.222                                | 793.162                       | 258.812                                                 | 409.694                    | 1.477.890     |
| Giảm trong kỳ              | (700)                                 | (102.869)                     | (68.250)                                                | (26.761)                   | (198.580)     |
| Tăng/(Giảm) khác trong kỳ  | ¬                                     | 126                           | ¬                                                       | ¬                          | 126           |
| Chênh lệch tỷ giá          | 1.043                                 | 990                           | 373                                                     | 222                        | 2.628         |
| Số dự cuối kỳ              | 2.602.069                             | 3.972.594                     | 1.496.507                                               | 943.502                    | 9.014.672     |
| Hao mòn lũy kê             |                                       |                               |                                                         |                            |               |
| Số dư đầu kỳ               | 631.015                               | 2.450.058                     | 1.074.312                                               | 382.819                    | 4.538.204     |
| Tăng trong kỳ              | 96.639                                | 512.027                       | 121.813                                                 | 121.645                    | 852.124       |
| Giảm trong kỳ              | _                                     | (102.772)                     | (64.679)                                                | (26.736)                   | (194.187)     |
| 'Tăng/(Giảm) khác trong kỳ | -                                     | 26.296                        | 20.162                                                  | 19.580                     | 66.038        |
| Chênh lệch tỷ giá          | 503                                   | 623                           | 527                                                     | 144                        | 1.797         |
| Số dự cuối kỳ              | 728.157                               | 2.886.232                     | 1.152.135                                               | 497.452                    | 5.263.976     |
| Giá trị còn lại            |                                       |                               |                                                         |                            |               |
| Số dư đầu kỳ               | 1.954.489                             | 831.127                       | 231.260                                                 | 177.528                    | 3.194.404     |
| Số dư cuối kỳ              | 1.873.912                             | 1.086.362                     | 344.372                                                 | 446.050                    | 3.750.696     |
