Biến động của tài sản cố định vô hình cho kỳ kết thúc ngày 31 tháng 12 năm 2023 như sau

|                           | Quyên sử dụng đất có thời hạn Triệu đồng   | c Phân mêm máy vi tính Triệu đồng   | Tài sản có định vô hình khác Triệu đồng   | - Tông cộng Triệu đồng   |
|---------------------------|--------------------------------------------|-------------------------------------|-------------------------------------------|--------------------------|
| Nguyên giá:               |                                            |                                     |                                           |                          |
| Số dư đầu kỳ              | 1.102.024                                  | 2.439.978                           | 23.090                                    | 3.565.092                |
| Tăng trong kỳ             | 51.153                                     | 585.625                             | 195                                       | 636.973                  |
| Thanh lý trong kỳ         | -                                          | (32)                                | (390)                                     | (422)                    |
| Tăng/(giảm) khác trong kỳ | -                                          | (5.631)                             | -                                         | (5.631)                  |
| Chênh lệch tỷ giá         | -                                          | 132                                 | -                                         | 132                      |
| Số dư cuối kỳ             | 1.153.177                                  | 3.020.072                           | 22.895                                    | 4.196.144                |
| Giá trị hao mòn luỹ kế:   |                                            |                                     |                                           |                          |
| Sô dư đâu kỳ              | 218.797                                    | 1.719.202                           | 11.146                                    | 1.949.145                |
| Tăng trong kỳ             | 19.906                                     | 652.051                             | 4.585                                     | 576.542                  |
| Giảm trong kỳ             | -                                          | (32)                                | (290)                                     | (422)                    |
| Tăng/(giảm) khác trong kỳ | -                                          | 10.967                              | -                                         | 10.967                   |
| Chênh lệch tỷ giá         | -                                          | 130                                 | -                                         | 130                      |
| Số dư cuối kỳ             | 238.703                                    | 2.282.318                           | 15.341                                    | 2.836.362                |
| Giá trị còn lại:          |                                            |                                     |                                           |                          |
| Số dư đầu kỳ              | 883.227                                    | 720.776                             | 11.944                                    | 1.615.947                |
| Số dư cuối kỳ             | 914.474                                    | 737.754                             | 7.554                                     | 1.659.782                |
