## 12. Bất động sản đầu tư

Tình hình về bát động sản đầu tư cho kỳ kết thúc ngày 31 tháng 12 năm 2024 như sau:

|                           | Nhà cửa, vật kiên trúc Triệu đồng   | Quyên sử dụng đât có thời hạn Triệu đông   | - Tông cộng Triệu đông   |
|---------------------------|-------------------------------------|--------------------------------------------|--------------------------|
| Nguyên giá:               |                                     |                                            |                          |
| Sô dư đâu kỳ              | 51.835                              | 208.580                                    | 260.415                  |
| Tăng trong kỷ             |                                     |                                            |                          |
| Giảm trong kỳ             |                                     |                                            |                          |
| Số dư cuối kỳ             | 51.835                              | 208.580                                    | 260.415                  |
| Giá trị hao mòn:          |                                     |                                            |                          |
| Số dư đầu kỳ              | 5.854                               | 14.267                                     | 20.121                   |
| Tăng trong kỳ             | 1.069                               | 5.110                                      | 6.179                    |
| Tăng/(Giảm) khác trong kỳ |                                     |                                            |                          |
| Số dư cuối kỳ             | 6.923                               | 19.377                                     | 26.300                   |
| Giá trị còn lại:          |                                     |                                            |                          |
| Số dư đầu kỳ              | 45.981                              | 194.313                                    | 240.294                  |
| Số dư cuối kỳ             | 44.912                              | 189.203                                    | 234.115                  |

Tình hình về bắt động sản đầu tư cho kỳ kết thúc ngày 31 tháng 12 năm 2023 như sau:

|                           | Nhà của, vật kiên trúc Triệu đông   | Quyên sử dụng đât có thời hạn Triệu đông   | - Tông cộng Triệu đông   |
|---------------------------|-------------------------------------|--------------------------------------------|--------------------------|
| Nguyên giá:               |                                     |                                            |                          |
| Số dư đầu kỳ              | 50.835                              | 199.320                                    | 250.155                  |
| Tăng trong kỷ             | 1.000                               | 9.260                                      | 10.260                   |
| Giảm trong kỳ             |                                     |                                            |                          |
| Số dự cuối kỳ             | 51.835                              | 208.580                                    | 260.415                  |
| Giá trị hao mòn:          |                                     |                                            |                          |
| Số dư đầu kỳ              | 4.821                               | 9.157                                      | 13.978                   |
| Tăng trong kỳ             | 1.033                               | 5.110                                      | 6.143                    |
| Tăng/(Giảm) khác trong kỳ |                                     |                                            |                          |
| Số dư cuối kỳ             | 5.854                               | 14.267                                     | 20.121                   |
| Giá trị còn lại:          |                                     |                                            |                          |
| Số dư đầu kỳ              | 46.014                              | 190.163                                    | 236.177                  |
| Số dư cuối kỳ             | 45.981                              | 194.313                                    | 240.294                  |
