## 22.2. Lãi trên mỗi cỗ phiếu

|     |                                                                                        | Từ 01/01/2024 đên 31/12/2024 Triệu đồng   | Từ 01/01/2023 đên 31⁄12/2023 Triệu đồng   |
|-----|----------------------------------------------------------------------------------------|-------------------------------------------|-------------------------------------------|
|     | Lợi nhuận sau thuế (thuộc về ngân hàng, không bao gồm lợi ích cổ đông không kiểm soát) | 22.633.757                                | 19.012.931                                |
|     | Bình quân gia quyền của số cổ phiếu phổ thông đang lưu hành (cỗ phiếu)                 | 5.281.935.200                             | 5.214.084.052                             |
|     | Lãi cơ bản trên mỗi cổ phiếu (đồng/cỗổ phiêu)                                          | 4.285                                     | 3.646                                     |
| 223 | Cổ phiếu:                                                                              |                                           |                                           |
|     |                                                                                        | 31/12/2024                                | 31/12/2023                                |
|     | Số lượng cổ phiếu đăng ký phát hành                                                    |                                           |                                           |
|     | Số lượng cổ phiếu đã bán ra công chúng                                                 | 5.306.324.052                             | 5.214.084.052                             |
|     | Cỗ phiếu phổ thông                                                                     | 5.306.324.052                             | 5.214.084.052                             |
|     | Số lượng cỗ phiếu được mua lại                                                         |                                           |                                           |
|     | - — Cô phiêu phô thông                                                                 |                                           |                                           |
|     | - _ Cỗ phiếu ưu đãi                                                                    |                                           |                                           |
|     | Số lượng cỗ phiếu đang lưu hành                                                        | 5.306.324.052                             | 5.214.084.052                             |
|     | - _ Cô phiêu phô thông                                                                 | 5.306.324.052                             | 5.214.084.052                             |
|     | - _ Cổ phiếu ưu đãi                                                                    |                                           |                                           |
