## 11. Thuế thu nhập doanh nghiệp

## 11.1 Chí phí thuế

|                                            | Từ 01/01/2024 đến 31/12/2024 Triệu đông   | Từ 01/01/2023 đến 31/12/2023 Triệu đồng   |
|--------------------------------------------|-------------------------------------------|-------------------------------------------|
| Chi phí thuế thu nhập hiện hành            | 5.888.266                                 | 5.269.869                                 |
| Năm hiện hành                              | 5.888.266                                 | 5.269.869                                 |
| Chỉ phí/(hoàn nhập) thuế thu nhập hoãn lại | (10.202)                                  | (17.572)                                  |
| Chỉ phí/(thu nhập) thuế thu nhập hoãn lại  | (10.202)                                  | (17.572)                                  |
| Chi phí thuế thu nhập                      | 5.878.064                                 | 5.252.297                                 |

## 11.2 Thuế thu nhập doanh nghiệp

Ngân hàng có nghĩa vụ nộp thuế thu nhập doanh nghiệp 20% trên thu nhập chịu thuế.

|                                                                                                                                          | 31/12/2024 Triệu đồng   | 31/12/2023 Triệu đông   |
|------------------------------------------------------------------------------------------------------------------------------------------|-------------------------|-------------------------|
| Tổng lợi nhuận theo kế toán trước thuế hợp nhât                                                                                          | 28.829.328              | 26.306.089              |
| Điều chỉnh cho các khoản:                                                                                                                |                         |                         |
| -___ Thu nhập không chịu thuê (bao gồm cổ tức, Lợi nhuận từ các đơn vị, các khoản điều chỉnh hợp nhất không chịu thuế) và các khoản khác | (2.151.774)             | (2.068.963)             |
| - __ Các chỉ phí không được khấu trừ của riêng Ngân hàng                                                                                 | 446.806                 | 14.931                  |
| - Thu nhập chịu thuê TNDN ước tính tại Việt Nam                                                                                          | 27.124.360              | 24.252.057              |
| Chỉ phí thuế TNDN hiện hành (20%) của Ngân hàng (0)                                                                                      | 5.424.872               | 4.850.411               |
| Điều chỉnh trong năm cho thuế thu nhập hiện hành của các năm trước (ii)                                                                  | 14.908                  | -                       |
| Chỉ phí thuế TNDN chỉ nhánh nước ngoài (ïii)                                                                                             | 4.172                   | 7.049                   |
| Chi phí thuế TNDN của các công ty con (iv)                                                                                               | 444.314                 | 412.409                 |
| Chỉ phí/(hoàn nhập) thuế TNDN hoãn lại (v)                                                                                               | (10.202)                | (17.572)                |
| Chi phí thuế TNDN (i+ii+iii+iv+v)                                                                                                        | 5.878.064               | 6.252.297               |

## 12. Tiền và các khoản tương đương tiền

Tiền và các khoản tương đương tiền thuần thể hiện trên báo cáo lưu chuyển tiền tệ hợp nhất bao gồm các khoản trên Báo cáo tình hình tài chính hợp nhất sau đây:

|                                                | 31⁄1 2⁄2024 Triệu đồng   | 31⁄1 2/2023 Triệu đông   |
|------------------------------------------------|--------------------------|--------------------------|
| Tiền và các khoản tương đương tiền tại quỹ     | 3.349.166                | 3.675.394                |
| Tiền gửi tại Ngân hàng Nhà nước                | 29.803.270               | 66.300.091               |
| Tiền gửi tại TCTD kỳ hạn gốc không quá 3 tháng | 63.887.837               | 39.119.633               |
|                                                | 97.040.273               | 109.095.118              |
