Phân loại tài sản và công nợ vào ngày 31 tháng 12 năm 2024 như sau:

|                                                                |            | Đơn vị: triệu đông             | Đơn vị: triệu đông   | Đơn vị: triệu đông   | Đơn vị: triệu đông   | Đơn vị: triệu đông   | Đơn vị: triệu đông   | Đơn vị: triệu đông   |
|----------------------------------------------------------------|------------|--------------------------------|----------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
|                                                                | Quá hạn    | Không bị định giá lại lãi suất | Đến 1 tháng          | Từ1-3(háng           | Từ 3-6tháng          | Từ 6- 12 tháng       | Trên 1 năm           | Tổng                 |
| Tài sản                                                        |            |                                |                      |                      |                      |                      |                      |                      |
| Tiền mặt, vàng bạc, đá quý                                     | -          | 3.349.166                      | -                    | ˆ                    | -                    | -                    | -                    | 3.349.166            |
| Tiền gửi tại NHNN                                              | -          | 29.825.253                     | -                    | -                    | -                    | -                    | -                    | 29.825.253           |
| Tiền, vàng gửi tại và cho vay các TCTD khác                    | -          | -                              | 64.954.583           | 3.885.740            | 2.718.747            | 2.535.499            | 2.696.919            | 76.791.488           |
| Chứng khoán kinh doanh (*)                                     | -          | 212.152                        | 7.719.682            | -                    | -                    | -                    | -                    | 7.931.834            |
| Công cụ tài chính phái sinh và các tải sản tài chính khác      | -          | -                              | -                    | -                    | -                    | ¬                    | -                    | -                    |
| Cho vay khách hàng và mua nợ (*)                               | 18.894.036 | -                              | 251.016.585          | 282.018.924          | 97.486.454           | 85.893.184           | 42.390.025           | 777.699.208          |
| Chứng khoán đầu tư (*)                                         | 226.635    | -                              | 20.895.655           | 20.328.109           | 21.361.341           | 42.640.018           | 104.668.702          | 210.120.460          |
| Góp vốn, đầu tư dài hạn (*)                                    | -          | 775.670                        | -                    | -                    | -                    | -                    | -                    | 775.670              |
| Tài sản cỗ định, bắt động sản đầu tư                           | -          | 5.664.531                      | =                    | -                    | -                    | -                    | -                    | 5.664.531            |
| Tài sản Có khác (*)                                            | 291.790    | 28.900.121                     |                      |                      |                      |                      |                      | 29.191.911           |
| Tổng tài sản                                                   | 19.412.461 | 68.726.893                     | 344.586.505          | 306.232.773          | 121.566.542          | 131.068.701          | 149.755.646          | 1.141.349.521        |
| Nợ phải trả                                                    |            |                                |                      |                      |                      |                      |                      |                      |
| Nợ phải trả NHNN và Chính phủ                                  | -          | -                              | 8.156.285            | -                    | -                    | -                    | -                    | 8.156.285            |
| Tiên gửi và vay các TCTD khác                                  | -          | -                              | 89.519.309           | 8.597.611            | 3.590.615            | 8.462.050            | -                    | 110.169.585          |
| Tiền gửi của khách hàng                                        | -          | -                              | 386.473.392          | 120.624.054          | 114.310.515          | 80.948.040           | 11.798.478           | 714.154.479          |
| Các công cụ tài chính phái sinh và các khoản nợ tài chính khác | -          | -                              | (193.425)            | 72.330               | 91.253               | 153.387              | 68.000               | 191.545              |
| Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro          | -          | -                              | 540.433              | 1.411.277            | 774.781              | -                    | 66.962               | 2.793.453            |
| Phát hành giây tờ có giá                                       | -          | -                              | 4.899.998            | 5.050.569            | 30.297.714           | 35.928.347           | 52.787.405           | 128.964.033          |
| Các khoản nợ khác (*)                                          | E          | 47.311.049                     | H                    | -                    | -                    | -                    | ˆ                    | 47.311.049           |
| Tổng nợ phải trả                                               | -          | 47.34141049                    | 489.395.992          | 135755841            | 1149.064878          | 125.491.824          | 64.720.845           | 1.011.740.429        |
| Mức chênh nhạy cảm với lãi suất nội bảng                       | 19.412.461 | 21.415.844                     | (144.809.487)        | 170.476.932          | (27.498.336)         | 5.576.877            | 85.034.801           | 429.609.092          |

(*):Các khoản mục này không bao gồm đến dự phòng rủi ro.
