## NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN — HÀ NỘI THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)

## 10.2.Phân tích dư nợ theo đối tượng khách hàng và loại hình doanh nghiệp

|                                                                           | 31/12/2024   | 31/12/2024   | 31/12/2023   | 31/12/2023   |
|---------------------------------------------------------------------------|--------------|--------------|--------------|--------------|
|                                                                           | Triệu đồng   |              | Triệu đồng   |              |
| Cho vay các tổ chức kinh tế                                               |              |              |              |              |
| Công ty Nhà nước                                                          | 1.334.812    | 0,26%        | 1.861.411    | 0,45%        |
| Công ty TNHH                                                              | 167.549.748  | 32,22%       | 126.648.535  | 28,88%       |
| Công ty cổ phần có hơn 50% vốn Nhà nước (Nhà nước chiếm cổ phần chi phối) | 4.268.833    | 0,82%        | 9.769.747    | 223%         |
| Công ty cố phần                                                           | 261.101.750  | 50,22%       | 213.556.250  | 48,71%       |
| Công ty hợp danh                                                          | 1.846        | 0,00%        | 27.646       | 0,01%        |
| Doanh nghiệp tư nhân                                                      | 1.774.117    | 0,34%        | 5.896.418    |              |
| Doanh nghiệp có vốn đầu tư nước ngoài                                     | 36.382       | 0,01%        | 63.057       | 0,01%        |
| Hợp tác xã và liên hiệp hợp tác xã                                        | 47.862       | 0,01%        | 30.406       | 0,01%        |
| Cho vay cá nhân                                                           |              |              |              |              |
| Hộ kinh doanh, cá nhân                                                    | 83.834.641   | 16,12%       | 80.410.677   | 18,33%       |
|                                                                           | 519.949.991  | 100,00%      | 438.464.147  | 100,00%      |
