## 21. THU NHẬP LÃI VÀ CÁC KHOẢN THU NHẬP TƯƠNG TỰ

|                                              | Từ 01/01/2024 đến 31/12/2024 Triệu đồng   | Từ 01/01/2023 đến 31/12/2023 Triệu đồng   |
|----------------------------------------------|-------------------------------------------|-------------------------------------------|
| Thu lãi tiền gửi                             | 2.067.987                                 | 1.445.481                                 |
| Thu lãi tiền vay                             | 45.519.663                                | 52.238.878                                |
| Thu lãi từ kinh doanh, đầu tư chứng khoán Nợ | 2.604.723                                 | 3.600.744                                 |
| Thu khác từ hoạt động tín dụng               | 107.104                                   | 112.306                                   |
| Thu phí hoạt động bảo lãnh                   | 201.527                                   | 191.982                                   |
|                                              | 50.501.004                                | 57.589.391                                |

## 22... CHI PHÍ LÃI VÀ CÁC CHI PHÍ TƯƠNG TỰ

|                                  | Từ 01/01/2024 đến 31/12/2024   | Từ 01/01/2023 đến 31/12/2023   |
|----------------------------------|--------------------------------|--------------------------------|
| Trả lãi huy động                 | (26.009.684)                   | (33.550.170)                   |
| Trả lãi tiền vay                 | (906.750)                      | (1.119.236)                    |
| Trả lãi phát hành giấy tờ có giá | (2.421.893)                    | (3.137.585)                    |
| Chỉ phí hoạt động tin dụng khác  | (34.948)                       | (497.037)                      |
|                                  | (29.373.275)                   | (38.304.038)                   |

## 23. LÃI/LỖ THUẦN TỪ HOẠT ĐỘNG DỊCH VỤ

|                                               | Từ 01/01/2024 đến 31/12/2024 Triệu đồng   | Từ 01/01/2023 đến 31/12/2023 Triệu đồng   |
|-----------------------------------------------|-------------------------------------------|-------------------------------------------|
| Thu nhập từ hoạt động dịch vụ                 | 1.557.675                                 | 912.654                                   |
| ~ Thu từ dịch vụ thanh toán                   | 1.142.935                                 | 349.677                                   |
| ~ Thu từ nghiệp vụ ủy thác và đại lý          | 0.098                                     | 127.073                                   |
| v cung ứng dịch vụ bảo quản tài sản, cho thuê | 166.852                                   | 273.375                                   |
| - Thu khác                                    | 157.789                                   | 162.529                                   |
| Chỉ phí cho hoạt động dịch vụ                 | (286.112)                                 | (367.727)                                 |
| ~ Chi về dịch vụ thanh toán                   | (77.880)                                  | (129.062)                                 |
| - Cước phí bưu điện về mạng viễn thông        | (68.888)                                  | (75.948)                                  |
| ~ Chi về hoạt động ngân quỹ                   | (56.358)                                  | (45.464)                                  |
| ~ Chỉ phí khắc                                | (82.886)                                  | (117.253)                                 |
| Lãi/ lỗ thuần từ hoạt động dịch vụ            | 1.271.563                                 | 544.927                                   |
