Ngân hàng thương mại cổ phần Quốc Tế Việt Nam Thuyết minh báo cáo tài chính hợp nhất tại ngày 31 tháng 12 năm 2024 và cho Quý kết thúc cùng ngày (tiếp theo)

## Mẫu B05/TCTD-HN

(Ban hành theo Thông tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)

| Tại ngày 31 tháng 12 năm 2023                                 | Trong nước Triệu VND   | Ngoài nước Triệu VND   | Tổng cộng Triệu VND   |
|---------------------------------------------------------------|------------------------|------------------------|-----------------------|
| Tài sản                                                       |                        |                        |                       |
| Tiền mặt và vàng                                              | 1.681.071              | -                      | 1.681.071             |
| Tiền gửi tại NHNNVN                                           | 8.217.767              | “                      | 8.217.767             |
| Tiền gửi và cho vay các TCTD khác                             | 67.907.053             | 290.521                | 68.197.574            |
| Các công cụ tài chính phái sinh và các tài sản tài chính khác | 156.721                | “                      | 156.721               |
| Cho vay khách hàng                                            | 266.345.545            | -                      | 266.345.545           |
| Hoạt động mua nợ                                              | 16.495                 | -                      | 16.495                |
| Chứng khoán đầu tư                                            | 60.998.658             | _                      | 60.998.658            |
| Góp vốn đầu tư dài hạn                                        | 69.125                 | 542                    | 69,667                |
| Tài sản cố định và bất động sản đầu tư                        | 758.668                | ~                      | 758.668               |
| Tài sản Có khác                                               | 7.731.430              | _                      | 7.731.430             |
|                                                               | 413.882.533            | 291.063                | 414.173.596           |
| Nợ phải trả                                                   |                        |                        |                       |
| Tiền gửi và vay các TCTD khác                                 | 75.947.468             | 22.692.253             | 98.639.721            |
| Tiền gửi của khách hàng                                       | 233.719.835            | 2.857.431              | 236.577.266           |
| Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro         | 6.930                  | “                      | 6.930                 |
| Phát hành giấy tờ có giá                                      | 23.896.936             | -                      | 23.896.936            |
| Các khoản nợ khác                                             | 12.820.933             | -                      | 12.820.933            |
|                                                               | 346.392.102            | 25.549.684             | 371.941.786           |
| Các cam kết ngoại bảng                                        |                        |                        |                       |
| Cam kết giao dịch hối đoái                                    | 227.964.990            | -                      | 227.964.990           |
| Cam kết trong nghiệp vụ thư tín dụng                          | 1.943.650              | -                      | 1.943.650             |
| Bảo lãnh khác                                                 | 7.025.057              | ˆ                      | 7.025.057             |
| Các cam kết khác                                              | 38.380.834             | ˆ                      | 38.380.834            |
| Lãi cho vay và phí phải thu chưa thu được                     | 3.162.280              | -                      | 3.162.280             |
| Nợ khó đòi đã xử lý                                           | 18.479.513             | -                      | 18.479.513            |
| Tài sản và chứng từ khác                                      | 29.531.434             | -                      | 29.531.434            |

Số liệu được trình bày theo khu vực địa lý của khách hàng/đối tác.
