Ngân hàng thương mại cổ phần Quốc Tế Việt Nam Thuyết mình báo cáo tài chính hợp nhất tại ngày 31 tháng 12 năm 2024 và cho Quý kết thúc cùng ngày (tiếp theo}

## Mẫu B05/TCTD-HN

(Ban hành theo Thông tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)

| Năm kết thúc tại ngày 31 tháng 12 năm 2023                | Miền Bắc Triệu VND         | Miền Trung Triệu VND       | Miền Nam Triệu VND    | Tổng Triệu VND    |
|-----------------------------------------------------------|----------------------------|----------------------------|-----------------------|-------------------|
| Doanh thu                                                 |                            |                            |                       |                   |
| Thu nhập lãi và các khoản thu nhập tương tự               | 6.077.507                  | 3.295.430                  | 27.318.250            | 36.691.187        |
| Thu nhập từ hoạt động dịch vụ                             | 1.252.986                  | 206.821                    | 2.153.732             | 3.613.539         |
| Thu nhập từ hoạt động khác                                | 234.410                    | 18.842                     | 2315.721              | 2.568.973         |
| Thu nhập từ hoạt động khác                                | 7.564.903                  | 3.521.093                  | 31.787.703            | 42.873.699        |
| Chỉ phí                                                   |                            |                            |                       |                   |
| Chỉ phí lãi và các khoản chỉ phí tương tự                 | (1.320.251)                | (1.873.399)                | (15.013.466)          | (18.207.116)      |
| Chi phí khấu hao TSCĐ .                                   | (9.571)                    | 3.954)                     | (152.440)             | (165.965)         |
| Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh      | (1.771.817) TT rrăăirrr-rr | (473.438) "“”=ccE=E====rrr | (6.705.613) TT TTTTT— | (8.950.868) TT TT |
|                                                           | (3.101639)                 | (2.350.791)                | (21.871.519)          | (27.323.949)      |
| Kết quả kinh doanh trước chỉ phí dự phòng rủi ro tín dụng | 4.463.264                  | 1.170.302                  | 9.916.184             | — 15.549.750      |
| Chỉ phí dự phòng rủi ro tín dụng                          | (801.625)                  | (239.178)                  | (3.805.002)           | (4.845.805)       |
| Kết quả kinh doanh bộ phận (trước thuế)                   | 3.661.639                  | 931124                     | — 6.111182            | 10.703.945        |
| Tại ngày 31 tháng 12 năm 2023                             |                            |                            |                       |                   |
| Tài sản                                                   |                            |                            |                       |                   |
| Tiền mặt và vàng                                          | 724.456                    | 143.101                    | 813.514               | 1.681.071         |
| Tài sản cố định                                           | 2.121                      | -                          | 754.046               | 756.167           |
| Tài sản khác                                              | 59.199.221                 | 28.373.673                 | 319.871.241           | 407.444.135       |
| Tổng tài sản                                              | 59.925.798                 | 28.516.774                 | 321.438.801           | 409.881.373       |
| Nợ phải trả                                               |                            |                            |                       |                   |
| Nợ phải trả khách hàng bên ngoài                          | 137.010.993                | 15.613.378                 | 217.028.402           | 369.652.773       |
| Nợ phải trả nội bộ                                        | 16.978                     | -                          | 737.926               | 754.904           |
| Nợ phải trả khác                                          | 14.634                     | 341                        | 1.519.134             | 1.534.109         |
| Tổng nợ phải trả                                          | 137042605                  | 15.613.719                 | 219.285.462           | 371.941.786       |

Số liệu được trình bày theo địa điểm của chỉ nhánh và công ty con.
