## THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo) Tại ngày 31 tháng 12 năm 2024 và cho năm tài chính kết thúc cùng ngày

## 17. — LỢI THẾ THƯƠNG MẠI

|                                                                          |   Cho năm tải chính kết thúc ngày 31 tháng 12 năm 2024 Triệu đồng |   Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 Triệu đồng |
|--------------------------------------------------------------------------|-------------------------------------------------------------------|-------------------------------------------------------------------|
| Tông giá trị Lợi thế thương mại                                          |                                                           231.167 |                                                           231.167 |
| Thời gian phân bổ (năm)                                                  |                                                             3     |                                                             3     |
| Giá trị Lợi thế thương mại đã phân bỗ lũy kế đầu năm                     |                                                           112.66  |                                                            35.675 |
| Giá trị Lợi thế thương mại chưa phân bổ đầu năm                          |                                                           118.507 |                                                           195.492 |
| Lợi thế thương mại giảm trong năm                                        |                                                            77.197 |                                                           796.985 |
| Giá trị Lợi thế thương mại phân bổ trong năm                             |                                                            77.197 |                                                            76.985 |
| Tổng giá trị Lợi thế thương mại chưa phân bổ cuối năm (Thuyết minh 16.3) |                                                            41.31  |                                                           118.507 |

## 48... CÁC KHOẢN NỢ CHÍNH PHỦ VÀ NGÂN HÀNG NHÀ NƯỚC VIỆT NAM

|                                   | Ngày 31 tháng 12 năm 2024 Triệu đồng   | Ngày 31 tháng 12 năm 2023 Triệu đồng   |
|-----------------------------------|----------------------------------------|----------------------------------------|
| Vay Ngân hàng Nhà nước Việt Nam   | 3.360                                  | 4.117.311                              |
| Vay chiết khấu các giấy tờ có giả | -                                      | 4.112.234                              |
| Vay khác                          | 3.360                                  | 5.077                                  |
| Tiền gửi của Kho bạc Nhà nước     | 2.353                                  | 1.000                                  |
| Bằng VND                          | 2.353                                  | 1.000                                  |
|                                   | 5,713                                  | 4.118.311                              |

fka
