## THUYÉT MINH BẢO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo) Tại ngày 31 tháng 12 năm 2024 vả cho năm tài chính kết thúc cùng ngày

## 19. TIỀN GỬ! VÀ VAY CÁC TỎ GHỨC TÀI CHÍNH, TÔ CHỨC TÍN DỤNG KHÁC

## 79.1 Tiền gửi của các tô chức tín dụng khác

|                       | Ngày 31 tháng 12 năm 2024 Triệu đồng   | Ngày 31 tháng 12 năm 2023 Triệu đồng   |
|-----------------------|----------------------------------------|----------------------------------------|
| Tiền gửi không kỳ hạn | 6.936.034                              | 6.917.556                              |
| Bằng VND              | 6.936.020                              | 6.917.543                              |
| Bằng ngoại tệ         | 14                                     | 13                                     |
| Tiên gửi có kỳ hạn    | 104.927.178                            | 76.317.200                             |
| Bằng VND              | 96.030.000                             | 72.450.000                             |
| Bằng ngoại tệ         | 8.897.175                              | 3.867.200                              |
|                       | 111.863.209                            | 83.234.756                             |

## 19.2 Vay các tỗ chức tài chính, tỗ chức tín dụng khác

|                                                                                 | Ngày 31 tháng 12 năm 2024 Triệu đồng   | Ngày 31 tháng 12 năm 2023 Triệu đồng   |
|---------------------------------------------------------------------------------|----------------------------------------|----------------------------------------|
| Phải trà về nghiệp vự thư tín dụng trả chậm Vay các Tổ chức tài chính (*TCTC"), | 16.219.307                             | 25.371.494                             |
| Tổ chúc tin dụng ("TCTP") khác                                                  | 73.673.908                             | 47.750.401                             |
| Bằng VND                                                                        | 3.650.923                              | 4.304.954                              |
| ~ Trong đỏ: vay cằm cô                                                          | 3.741.200                              | 1.394.205                              |
| Bằng ngoại tệ                                                                   | 60.022.982                             | 43.445.447                             |
| - Trong đó: vỗn vay từ Công ty Tài chính Quốc tế ("IFC")                        | 2.723.298                              | 4.746.837                              |
|                                                                                 | 89.895.212                             | 73.121.895                             |

Các khoản vay các TCTC, TCTD khác theo kỳ hạn gốc tại thời điểm cuồi năm như sau:

|                              | Ngày 31 tháng 12 năm 2024 Triệu đồng   | Ngày 31 tháng 12 năm 2023 Triệu đồng   |
|------------------------------|----------------------------------------|----------------------------------------|
| Đến 6 tháng                  | 17.347.610                             | 5.032.482                              |
| Từ trên 6 tháng đến 12 tháng | 13.760.492                             | 8.497.107                              |
| Từ trên 12 tháng đến 5 năm   | 34.935.087                             | 34.201.079                             |
| Từ trên 5 năm trở lên        | 7.630.716                              | 19.733                                 |
|                              | 73.673.905                             | 47.750.401                             |
