Tại ngày 31 tháng 12 năm 2024 và cho năm tài chính kết thúc cùng ngày

## 25. VÓN VÀ CÁC QUỸ

28.7 Bảo cáo tỉnh hình thay đồi vỗn chủ sờ hữu

|                                                                 | Vốn điều lệ Triệu đồng   | Thăng dư vỗn cỗ phần   | Quỹ dự trữ bỗ sung vỗn điều lệ   | Quỹ dự phông tài chính   | Quỹ đầu tư phát tiền   | Cỗ phiều quÿ   | Lợi nhuận chua phân phối Triệu đồng   | Lợi ích của cỗ đông không kiểm soát — Triệu đồng   | Tổng cộng Triệu đồng        |
|-----------------------------------------------------------------|--------------------------|------------------------|----------------------------------|--------------------------|------------------------|----------------|---------------------------------------|----------------------------------------------------|-----------------------------|
| Tại ngày 1 tháng 1 năm 2023                                     | 67.434.236               |                        | 1.808.421                        | 9.029.594                | 2.699.069              | (883.466)      | 18.751.804                            | 6,664./262                                         | 103.501.920                 |
| Lợi nhuận/(Lỗ) thuần trong năm                                  |                          |                        |                                  |                          |                        |                | 9973939                               | (1479.768)                                         | 8.494.171                   |
| Phát hành cỗ phiểu để tăng vốn                                  |                          |                        |                                  |                          |                        |                |                                       |                                                    |                             |
| điều lệ (ï)                                                     | 11.905.000               | 23.992.546             |                                  |                          |                        |                | -                                     | -                                                  | 35.897.546                  |
| Trích lập các quỹ                                               |                          |                        | 544.804                          | 1.076.895                |                        |                | (1.821.399)                           | -                                                  | -                           |
| Sử dụng quỹtrong năm                                            |                          |                        | -                                | (92890)                  |                        |                | -                                     | -                                                  | — (292.890)                 |
| Điều chuyên quỹ Đầu tư Phát triển sang Lợi nhuận chưa phân phối |                          |                        |                                  |                          | (2.049.041)            |                | 2.049.041                             | -                                                  | -                           |
| Điều chuyển quỹ Đầu tư Phát triển sang Thặng dư vốn cỗ phần     |                          | 881.270                |                                  |                          | (581.270)              |                |                                       |                                                    |                             |
| Phát hành ESOP từ cổ phiếu quỹ ()                               |                          | (581.270)              |                                  |                          |                        | 883.466        | ˆ                                     | -                                                  | 302.196                     |
| Chỉ trả cỗ lức năm 2022                                         |                          |                        |                                  |                          |                        |                | (7.933.924)                           | ¬                                                  | 7.933.924)                  |
| Biến động khác                                                  |                          |                        |                                  |                          |                        |                | (153492)                              | (20000)                                            | (173.492)                   |
| Tại ngày 31 tháng 12 năm 2023                                   |                          |                        |                                  |                          |                        |                | 49.065.989                            | 5/164494                                           | 139.795.527                 |
| Lợi nhuận thuần trong nắm                                       |                          |                        |                                  |                          |                        |                | 15.778.795                            | 208.031                                            | 15.986.826                  |
| Trích lập các quỹ                                               |                          |                        | 1461250                          | 1.442.341                |                        |                | (2.903.591)                           | ˆ                                                  | -                           |
| Sử dụng quỹ trong năm                                           |                          |                        | -                                | (671.289)                |                        |                | -                                     | -                                                  | (671.259)                   |
| Chí trả cổ lửc năm 2023                                         |                          |                        |                                  |                          |                        |                | (7.935.832)                           | -                                                  | (7.935.832)                 |
| Biến động khác                                                  |                          |                        |                                  |                          |                        |                | 2.238                                 | (2.238)                                            | ˆ                           |
| Tại ngày 31 tháng 12 năm 2024                                   |                          |                        |                                  |                          |                        |                | 24.007.579                            | 5.370.287                                          | 147.275.262 —————-——--_—.-ˆ |
