## THUYÉT MINH BÁO CÁO TÀI CHÍNH HỢP NHẬT (tiếp theo) Tại ngày 31 tháng 12 năm 2024 và cho năm tải chính kết thúc cùng ngày

## 29. LÄI THUẦN TỪ HOẠT ĐỘNG DỊCH VỤ

|                                       | Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 Triệu đồng   | Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 Triệu đồng   |
|---------------------------------------|-------------------------------------------------------------------|-------------------------------------------------------------------|
| Thu nhập từ hoạt động dịch vụ         | 13.201.660                                                        | 12.307.787                                                        |
| Thu từ dịch vụ thanh toán và ngân quỹ | 1.384.181                                                         | 3.109.866                                                         |
| Thu từ dịch vụ tư vấn                 | 139.026                                                           | 93.493                                                            |
| Thu từ kinh doanh vả dịch vụ bảo hiểm | 4.150.911                                                         | 2.937.498                                                         |
| Thu khác                              | 7.627.842                                                         | 6.166.830                                                         |
| Chỉ phí hoạt động dịch vụ             | (7.075.337)                                                       | (5.095.905)                                                       |
| Chỉ về dịch vụ thanh toán và ngân quỹ | (353.989)                                                         | (385.847)                                                         |
| Chỉ dịch vụ tư vẫn                    | 3)                                                                | (4.164)                                                           |
| Chí về dịch vụ bảo hiểm               | (1.035.286)                                                       | (279.617)                                                         |
| Hoa hồng môi giới                     | (447.900)                                                         | (253.324)                                                         |
| Chi khác                              | (6.238.089)                                                       | (4.172.953)                                                       |
|                                       | 6.126.323                                                         | 7.211.882                                                         |

## 30. LÃI/(LÖ) THUẦN TỪ HOẠT ĐỘNG KINH DOANH NGOẠI HÓI

|                                                | Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 Triệu đồng   | Cho năm tải chính kết thúc ngảy 31 tháng 12 năm 2023 Triệu đồng   |
|------------------------------------------------|-------------------------------------------------------------------|-------------------------------------------------------------------|
| Thu nhập từ hoạt động kinh doanh ngoại hồi     | 4.745.156                                                         | 4.351.790                                                         |
| Thu từ kinh doanh ngoại tệ giao ngay           | 2.524.315                                                         | 3.040.262                                                         |
| Thư từ kinh doanh vàng                         | 5.526                                                             | 172                                                               |
| Thu tử các công cụ tài chính phải sinh tiền tệ | 2.215.315                                                         | 1.311.356                                                         |
| Chỉ phí từ hoạt động kinh doanh ngoại hồi      | (3.917.916)                                                       | (6.157.763)                                                       |
| Chỉ từ kinh doanh ngoại tệ giao ngay           | (892.360)                                                         | (1.108.687)                                                       |
| Chi về kinh doanh vàng                         | (8.534)                                                           | (15.976)                                                          |
| Chi về các công cụ tài chính phái sinh tiền tệ | (3.017.022)                                                       | (4.033.100)                                                       |
|                                                | 827.240                                                           | (808.973)                                                         |

## 31 LÃI THUÀN TỪ MUA BẢN CHỨNG KHOÁN KINH DOANH

|                                                                            | Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 Triệu đồng   | Cho năm tài chính kết thúc ngây 3† tháng 12 năm 2023 Triệu đồng   |
|----------------------------------------------------------------------------|-------------------------------------------------------------------|-------------------------------------------------------------------|
| Thư nhập từ mưa bản chứng khoán kinh doanh                                 | 680.929                                                           | 835.368                                                           |
| Chỉ phí về mua bán chứng khoán kinh doanh                                  | (330.688)                                                         | (131.922)                                                         |
| (Trích lập)/Hoàn nhập dự phòng chứng khoán kinh doanh (Thuyết mình số 8.2) | 10.715                                                            | (23.273)                                                          |
|                                                                            | 360.956                                                           | 380.173                                                           |
