## BẢNG CÂN ĐÓI KÉ TOÁN HỢP NHÁT

Tại ngày 31 tháng 12 năm 2024

Đơn vị tính:

VND

| TÀI SẢN              | TÀI SẢN                                                 |         | mm minh   | 31/12/2024                  | 01/01/2024                     |
|----------------------|---------------------------------------------------------|---------|-----------|-----------------------------|--------------------------------|
| A - TÀI SÁN NGÀN HẠN | A - TÀI SÁN NGÀN HẠN                                    | 100     |           | 6,441,856,215,121           | 5,681,580,248,153              |
| H                    | Tiền và các khoản tương đương tiền                      | 110     | s1        | 2,419,517,905,105           | 2,435,058,282,483              |
| 1                    | Tiền                                                    | 111     |           | 1,652,054,574,062           | 1,298,774,919,831              |
| 2                    | Các khoản tương đương tiền                              | 112     |           | 767,463,331,043             | 1,136,283,362,652              |
| H                    | Các khoản đầu tư tài chính ngắn hạn                     | 120     |           | 718,639,358,712             | 1,079,609,986,000              |
| —                    | Chứng khoán kinh doanh                                  | 121     |           |                             |                                |
|                      | Dự phòng giảm giá chứng khoán kinh doanh                | 122     |           |                             |                                |
| G                    | Đầu tư nắm giữ đến ngày đáo hạn                         | 123     |           | 718,639,358,712             | 1,079,609,986,000              |
| _                    | Các khoắn phải thu ngắn hạn                             | 130     |           | 1,751,231,752,702           | 1,204,888,211,832              |
| KT                   | Phải thu ngắn hạn của khách hàng                        | 131     |           | 1,205,624,866,049           | 687,000,073,407                |
|                      | Trả trước cho người bán ngắn hạn                        | 132     |           | 558,692,685,221             | 342,180,956,924                |
|                      | Phải thu nội bộ ngắn hạn                                | 133     |           |                             |                                |
|                      | Phải thu theo tiến độ kế hoạch hợp đồng xây dựng        | 134     |           |                             |                                |
|                      | Phải thu về cho vay ngắn hạn                            | 135     |           | 1,500,000,000               | 62,876,744,806                 |
|                      | Các khoản phải thu khác                                 | 136     | 5.2       | 78,642,294,603              | 137,946,421,270                |
|                      | Dự phòng phải thu ngắn hạn khó đòi                      | 137     |           | (93,228,093,171)            | (25,115,984,575)               |
|                      | Tài sản thiếu chờ xử lý                                 | 139     |           |                             |                                |
| >5                   | Hàng tồn kho                                            | 140     |           | 1,352,422,066,899           | 781,680,229,197                |
| _                    | Hàng tồn kho                                            | 141     | s3        | 1,354,121,823,239           | 783,390,158,893                |
|                      | Dự phòng giảm giá hàng tồn kho                          | 149     |           | (1,699,756,340)             | (1,709,929,696)                |
| —..                  | Tài sản ngắn hạn khác                                   | 150 l§I |           | 200,045,131,703             | 180,343,538,641 13,138,650,715 |
| _                    | Chỉ phí trả trước ngắn hạn                              |         |           | 24,215,797,751              |                                |
|                      | Thuế giá trị gia tăng được khấu trừ                     | 152     |           | 175,200,958,433 628,375,519 | 164,269,427,413 2,935,460,513  |
|                      | Thuế và các khoản khác phải thu Nhà nước                | 153     |           |                             |                                |
|                      | Giao dịch mua bán lại trái phiếu chính phủ              | 154     |           |                             |                                |
| ———-                 | Tài sản ngắn hạn khác                                   | 155     |           |                             |                                |
| œ                    | TÀI SẢN DÀI HẠN                                         | 200     |           | 7,306,027,379,609           | 5,901,865,257,763              |
|                      | Các khoản phải thu dài hạn Phải thu dài của khách       | 210 211 |           | 445,612,228,000             | 82,297,269,278                 |
| _                    | hạn hàng                                                |         |           |                             |                                |
| kè                   | Trả trước cho người bán dài hạn                         | 22      |           |                             |                                |
| CÓ                   | Vốn kinh doanh ở các đơn vị trực thuộc                  | 213 214 |           |                             |                                |
|                      | Phải thu dài hạn nội bộ                                 |         |           | 358,500,000,000             | 77,154,150,000                 |
| ;mãœatG6u            | Phải thu về cho vay dài hạn                             | 215     |           | 24,787,817,968              | 5,143,119,278                  |
|                      | Phải thu dài hạn khác Dự phòng phải thu đài hạn khó đòi | 216 219 |           | 62,324,410,032              |                                |
|                      | Tài sản cố định                                         | 220     |           | 3,037,270,806,863           | 2,012,981,059,510              |
|                      | Tài sản cố hữu hình                                     | 221     | 5.4       | 2,836,544,208,665           | 1,863,866,579,072              |
|                      | định Nguyên giá                                         | 22      |           | 5,028,006,172,161           | 3,825,525,516,174              |
|                      | Giá trị hao mòn lũy kế                                  | 223     |           | (2,191,461,963,496)         | (1,961,658,937,102)            |
|                      | Tài sản cố định thuê tài chính                          | 224     | 5.5       | 56,808,705,545              |                                |
|                      | Nguyên giá                                              | 225     |           | 58,342,016,855              |                                |
|                      | Giá trị hao mòn lũy kế                                  | 226     |           | (1,533,311,310)             |                                |
|                      | Tài sản cô định vô hình                                 | 227     | 5.6       | 143,917,892,653             | 149,114,480,438                |
|                      | Nguyên giá                                              | 228     |           | 174,787,947,790             | 176,314,890,302                |
|                      | Giá trị hao mòn lũy kế                                  | 229     |           | (30,870,055,137)            | (27,200,409,864)               |
|                      | Bắt động sản đầu tư                                     | 230     |           | 1,303,970,692,613           | 1,317,994,843,520              |
|                      | Nguyên giá                                              | 231     |           | 1,515,802,867,546           | 1,467,632,350,176              |
|                      | Giá trị hao mòn lũy kế                                  |         |           | (211,832,174,933)           | (149,637,506,656)              |

<!-- image -->
