## CÔNG TY CỎ PHÀN NHỰA AN PHÁT XANH

## BÁO CÁO TÀI CHÍNH HỢP NHÁT MẪU SÓ B 09A -DN/HN

Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính

## 7. THOÔNG TIN CÁC BÉN LIÊN QUAN (TIEP THEO)

Trong kỳ, Công ty có các giao dịch chủ yếu với các bên liên quan như sau (tiếp theo):

|                                                                 | Năm 2024 VND                    | Năm 2023 VND                  |
|-----------------------------------------------------------------|---------------------------------|-------------------------------|
| Doanh thu tài chính                                             | 18.409.305.119                  | 17.368.857.382                |
| Công ty CP Tập đoàn An Phát Holdings                            | 17.487.932.018                  | 14.194.578.563                |
| Công ty TNHH An Trung Industries                                | 58.783.562                      | 19.726.027                    |
| Công ty CP VLXD Công nghệ cao An Cường                          | 704.781.320                     | 205.223.287                   |
| Công ty CP Anbio                                                | -                               | 26.890.411                    |
| Ankor Bioplastics Co.Ltd                                        | -                               | 782.390.053                   |
| Công ty CP Sản xuất PBAT An Phát                                | -                               | 2.137.324.383                 |
| Phạm Đỗ Huy Cường                                               | 157.808.219                     | -                             |
| Công ty CP Sản xuất Tổng hợp Sunrise Việt Nam                   | -                               | 2.724.658                     |
| Nhận cỗ tức                                                     | 26.683.731.200                  | 23.019.231.200                |
| Công ty CP Nhựa Bao Bì Vinh                                     | 4.703.974.200                   | 4.703.974.200                 |
| Công ty CP Nhựa Hà Nội                                          | 17.286.257.000                  | 17.286.257.000                |
| Công ty Cổ phần Dịch vụ Suất ăn công nghiệp An                  | 4.252.500.000                   | -                             |
| Phát                                                            |                                 |                               |
| Công ty CP Giải pháp và Dịch vụ phần mềm Nam                    | 441.000.000                     | 1.029.000.000                 |
| Việt                                                            |                                 |                               |
| Chỉ phí tài chính - Lãi đi vay                                  | 8.724.336.440                   | 421.521.095                   |
| Công ty CP Tập đoàn An Phát Holdings                            | -                               | 49.645.479                    |
| Công ty CP Nhựa Hà Nội                                          | 21.191.781                      | 324.473.972                   |
| Công ty CP VLXD Công nghệ cao An Cường                          | 6.069.287.673                   | -                             |
| Công ty TNHH MTV Cơ khí chính xác và Chế tạo                    | 51.953.425                      | -                             |
| khuôn mẫu Việt Nam                                              |                                 |                               |
| Công ty TNHH An Trung Industries                                | 2.555.602.191                   | 47.401.644                    |
| Công ty CP sản xuất tổng hợp Sunrise Việt Nam                   | 26.301.370                      | -                             |
| Thu nhập khác                                                   | 202.024.000                     | *                             |
| Công ty CP VLXD Công nghệ cao An Cường                          | 202.024.000                     | -                             |
|                                                                 | Năm 2024                        | Năm 2023                      |
| Nhận chuyển nhượng cỗ phần Công ty CP Tập đoàn An Phát Holdings | 173.667.276.949 173.667.276.949 | 74.200.000.000 74.200.000.000 |

——————
