## BẢNG CÂN ĐỐI KẾ TOÁN HỢP NHẤT (tiếp theo)

Tại ngày 31 tháng 12 năm 2024

| Nie2 TÀI SÂN                        | Nie2 TÀI SÂN                               |   „ Mã số | Thuyết =— minh   | 31/12/2024            | 31/12/2023          |
|-------------------------------------|--------------------------------------------|-----------|------------------|-----------------------|---------------------|
| B.                                  | TÀI SẢN DÀI HẠN                            |       200 |                  | 26.537.742.279.063    | 23.577.075.781.023  |
| I.                                  | Các khoản phải thu dài hạn                 |       210 |                  | 331.646.166.008       | 247.392.102.550     |
| I.                                  | 1. Phải thu về cho vay dài hạn             |       215 |                  | 2.509.722.351         |                     |
| I.                                  | 2. Phải thu dài hạn khác                   |       216 | 8                | 381.508.926.294       | 299.764.585.187     |
| I.                                  | 3. Dự phòng phải thư dài hạn khó đòi       |       219 |                  | (52.372.482.637)      | (52.372.482.637)    |
| II.                                 | Tài sản cố định                            |       220 |                  | 14.841.618.370.112    | 13.643.232.649.833  |
| II.                                 | 1. Tài sản cố định hữu hình                |       221 | 11               | 12.800.055.145.626    | 12.382.116.875.249  |
| II.                                 | ~ Nguyên giá                               |       222 |                  | 24.483.220.850.419    | 22.288.962.278.190  |
| II.                                 | - Giá trị hao mòn lũy kế                   |       223 |                  | (11.683.165. 704.793) | (9.906.845.402.941) |
| II.                                 | 2. Tài sản cố định thuê tài chính          |       224 |                  | 2.042.708.364         | 4.018.633.151       |
| II.                                 | - Nguyên gió                               |       225 |                  | 5.716.034.788         | 8.032.465.332       |
| II.                                 | - Giá trị hao mòn luỹ kế                   |       226 |                  | (3.673.326.424)       | (4.013.832.181)     |
| II.                                 | 3. Tài sản cố định vô hình                 |       227 | 12               | 2.039.520.516.122     | 1.257.097.141.433   |
| II.                                 | - Nguyên giá                               |       228 |                  | 3.656.302.027.788     | 2.595.586. 732.247  |
| II.                                 | - Giá trị hao mòn lũy kế                   |       229 |                  | (1.616.781.511.666)   | (1.338.489.590.814) |
| II.                                 | Tài sản dở dang dài hạn                    |       240 |                  | 2.559.818.072.744     | 1.315.270.136.003   |
| II.                                 | 1. Chi phí xây dựng cơ bản dở dang         |       242 | 13               | 2.559.818.072.744     | 1.315.270.136.003   |
| IV.                                 | Các khoản đầu tư tài chính dài hạn         |       250 |                  | 3.319.014.817.651     | 3.335.009.108.332   |
| IV.                                 | 1. Đầu tư vào công ty liên doanh, liên kết |       252 | 17               | 2.282.142.017.143     | 2.107.616.686.383   |
| IV.                                 | 2. Đầu tư góp vốn vào đơn vị khác          |       253 | 6                | 3.393.737.969.842     | 2.830.348.813.038   |
|                                     | 3. Dự phòng đầu tư tài chính dài hạn       |       254 |                  | (2.357.065.169.334)   | (1.623.156.391.089) |
|                                     | 4. Đầu tư nắm giữ đến ngày đáo hạn         |       255 |                  | 200.000.000           | 20.200.000.000      |
| V._                                 | Tài sản dài hạn khác                       |       260 |                  | 5.485.644.852.548     | 5.036.171.784.305   |
|                                     | 1. Chí phí trả trước dài hạn               |       261 | 14               | 3.815.166.554.012     | 3.391.434.748.762   |
|                                     | 2. Tài sản thuế thu nhập hoãn lại          |       262 |                  | 573.020.091.858       | 360.946.956.414     |
|                                     | 3. Lợi thế thương mại                      |       269 | 15               | 1.097.458.206.678     | 1.283.790.079.129   |
| TỔNG CỘNG TÀI SẢN (270 = 100 + 200) | TỔNG CỘNG TÀI SẢN (270 = 100 + 200)        |       270 |                  | 72.013.238.235.529    | 60.282.827.532.899  |

MẪU SỐ B 01-DN/HN

Đơn vị: VND
