## CÔNG TY CỔ PHẦN FPT

## THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo)

Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tời chính hợp nhốt kèm theo

## 11. TÀI SẢN CỐ ĐỊNH HỮU HÌNH

|                         | Nhà cửa và vật kiến trúc VND   | Máy móc và thiết bị VND   | Phương tiện ` tải VND   | Tuy c ` Thiết bị văn phòng   | . Khắc          | go. Tổng cộng      |
|-------------------------|--------------------------------|---------------------------|-------------------------|------------------------------|-----------------|--------------------|
| NGUYÊN GIÁ              |                                |                           |                         | VND                          | VND             | VND                |
| Tại ngày 01/01/2024     | 7.146.778.445.139              | 14.218.021.769.590        | 109.395.032.500         | 703.318.477.489              | 111.448.553.472 | 22.288.962.278.190 |
| Tăng do mua sắm         | 173.403.365.215                | 555.948.896.197           | 16.298.142.561          | 121.591.923.774              | 8.047.492.945   | 875.289.820.692    |
| Tăng do XDCB hoàn thành | 992.855.042.731                | 651.134.708.754           | `                       | 266.098.700                  | 430.237.945     | 1.644.686.088.130  |
| Thanh lý, nhượng bán    | (31.661.670.371)               | (253.145.833.728)         | (3.095.539.546)         | (14.023.625.689)             | (734.990.389)   | (302.661.659.723)  |
| Tăng/(Giảm) khác        | (15.435.395.702)               | 5.677.926.760             | 536.182.678             | (14.015.278.204)             | 180.887.598     | (23.055.676.870)   |
| Tại ngày 31/12/2024     | 8.265.939.787.012              | 15.177.637.467.573        | 123.133.818.193         | 797.137.596.070              | 119.372.181.571 | 24.483.220.850.419 |
| GIÁ TRỊ HAO MÒN LŨY KẾ  |                                |                           |                         |                              |                 | —                  |
| Tại ngày 01/01/2024     | 1.248.791.176.398              | 8.061.593.900.107         | 63.353.711.066          | 495.178.605.687              | 37.928.009.683  | 9.906.845.402.941  |
| Khấu hao trong kỳ       | 339.239.881.829                | 1.606.707.247.592         | 13.613.047.746          | 75.955.198.138               | 8.718.090.682   | 2.044.233.465.987  |
| Thanh lý, nhượng bán    | (17.802.530.056)               | (225.746.729.627)         | (3.095.539.546)         | (11.444.334.624              | (294.664.061)   | (258.383.797.914)  |
| Tăng/(Giảm) khác        | (3.135.520.087)                | (3.791.295.254)           | 956.141.258             | (3.619.931.135)              | 61.238.997      | (9.529.366.221)    |
| Tại ngày 31/12/2024     | 1.567.093.008.084              | 9.438.763.122.818         | 74.827.360.524          | 556.069.538.066              | 46.412.675.301  | 11.683.165.704.793 |
| GIÁ TRỊ CỒN LẠI         |                                |                           |                         |                              |                 |                    |
| Tại ngày 01/01/2024     | 5.897.987.268.741              | 6.156.427.869.483         | 46.041.321.434          | 208.139.871.802              | 73.520.543.789  | 12.382.116.875.249 |
| Tại ngày 31/12/2024     | 6.698.846.778.928              | 5.738.874.344.755         | 48.306.457.669          | 241.068.058.004              | 72.959.506.270  | 12.800.055.145.626 |

MẪU SỐ B 09-DN/HN
