- Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp

|                                                                      | 31/12/2024 Triệu đồng   | %      | 31/12/2023 Triệu đồng   | %      |
|----------------------------------------------------------------------|-------------------------|--------|-------------------------|--------|
| Dư nợ cho vay khách hàng của Ngân hàng                               |                         |        |                         |        |
| Cho vay các TCKT                                                     | 425.746.734             | 54,81  | 322.082.732             | 52,71  |
| Công ty Nhà nước                                                     | 30.754.076              | 3,96   | 23.475.539              | 3,84   |
| Công ty TNHH 1TV Vốn Nhà nước 100%                                   | 10.458.752              | 1,35   | 6.704.263               | 1,10   |
| Công ty TNHH trên 1 Thành viên vốn Nhà nước lớn hơn 50%              | 2.731.618               | 0,35   | 1.484.514               | 0,24   |
| Công ty TNHH khác                                                    | 130.491.477             | 16,80  | 96.980.688              | 15,87  |
| Công ty Cố phần Vốn Nhà nước > 50% (Nhà nước chiếm cổ phần chỉ phối) | 3.480.485               | 0,45   | 4.285.698               | 0,70   |
| Công ty cổ phần khác                                                 | 228.839.706             | 29,46  | 173.608.837             | 28,41  |
| Doanh nghiệp có vốn đầu tư nước ngoài                                | 18.816.306              | 242    | 15.429.823              | 2,53   |
| Hợp tác xã và liên hiệp hợp tác xã                                   | 174.314                 | 0,02   | 113.370                 | 0,02   |
| Cho vay cá nhân                                                      | 331.346.264             | 42,66  | 275.696.767             | 45,12  |
| Hộ kinh doanh, cá nhân                                               | 331.346.264             | 42,66  | 275.696.767             | 45,12  |
| Cho vay khác                                                         | 1.976.771               | 0,25   | 684.579                 | 0,12   |
| Đơn vị hành chính sự nghiệp, Đoàn thể và Hiệp hội                    | 170.815                 | 0,02   | 98.067                  | 0,02   |
| Thành phần kinh tế khác                                              | 1.805.956               | 0,23   | 586.512                 | 0,10   |
| Cho vay tại Chỉ nhánh và ngân hàng con nước ngoài                    | 7.294.348               | 0,95   | 3.366.269               | 0,54   |
| Cho vay Doanh nghiệp                                                 | 1.705.162               | 0,23   | 1.343.257               | 0,21   |
| Cho vay cá nhân                                                      | 5.589.186               | 0,72   | 2.023.012               | 0,33   |
|                                                                      | 766.364.117             | 98,67  | 601.830.347             | 98,49  |
| Các khoản cho vay margin chứng khoán và ứng trước khách hàng tại MBS | 10.293.729              | 1,33   | 9.218.483               | 1,51   |
|                                                                      | 776.657.846             | 100,00 | 611.048.830             | 100,00 |
