Biến động của tài sản cố định hữu hình cho kỳ kết thúc ngày 31 tháng 12 năm 2023 như sau:

|                           | Nhà cửa và vật kiên trúc Triệu đông   | Máy móc thiết bị Triệu đồng   | Phương tiện vận tải và thiết bị truyền dẫn Triệu đông   | Các tài sản cố định hữu hình khác Triệu đồng   | Tổng cộng Triệu đồng   |
|---------------------------|---------------------------------------|-------------------------------|---------------------------------------------------------|------------------------------------------------|------------------------|
| Nguyên giá                |                                       |                               |                                                         |                                                |                        |
| Sô dư đâu kỳ              | 2.481.162                             | 2.989.623                     | 1.158.689                                               | 481.088                                        | 7.110.562              |
| Tăng trong kỳ             | 104.117                               | 340.926                       | 168.388                                                 | 82.011                                         | 695.442                |
| Giảm trong kỳ             | -                                     | (49.127)                      | (21.254)                                                | (2.756)                                        | (73.137)               |
| Tăng/(Giảm) khác trong kỳ | -                                     | 229                           | -                                                       | -                                              | 229                    |
| Chênh lệch tỷ giá         | 225                                   | (466)                         | (251)                                                   | 4                                              | (488)                  |
| Số dư cuối kỳ             | 2.585.504                             | 3.281.185                     | 1.305.572                                               | 560.347                                        | 7.732.608              |
| Hao mòn lũy kế            |                                       |                               |                                                         |                                                |                        |
| Số dư đầu kỳ              | 523.559                               | 1.940.228                     | 916.406                                                 | 272.808                                        | 3.653.001              |
| Tăng trong kỳ             | 107.229                               | 513.342                       | 173.109                                                 | 86.308                                         | 879.988                |
| Giảm trong kỳ             | -                                     | (38.722)                      | (21.071)                                                | (2.058)                                        | (61.851)               |
| Tăng/(Giảm) khác trong kỳ | -                                     | 35.443                        | 5.977                                                   | 25.771                                         | 67.191                 |
| Chênh lệch tỷ giá         | 227                                   | (233)                         | (109)                                                   | (10)                                           | (125)                  |
| Số dư cuối kỳ             | 631.015                               | 2.450.058                     | 1.074.312                                               | 382.819                                        | 4.538.204              |
| Giá trị còn lại           |                                       |                               |                                                         |                                                |                        |
| Số dư đầu kỳ              | 1.957.603                             | 1.049.395                     | 242.283                                                 | 208.280                                        | 3.457.561              |
| Số dư cuối kỳ             | 1.954.489                             | 831.127                       | 231.260                                                 | 177.528                                        | 3.194.404              |
