## 3. Lãi thuần từ hoạt động kinh doanh ngoại hối

|                                                | Từ 01/01/2024 đến 31/12/2024 Triệu đông   | Từ 01/01/2023 đến 31/12/2023 Triệu đồng   |
|------------------------------------------------|-------------------------------------------|-------------------------------------------|
| Thu nhập từ hoạt động kinh doanh ngoại hối     |                                           |                                           |
| Thu từ kinh doanh ngoại tệ giao ngay và vàng   | 3.996.204                                 | 3.105.170                                 |
| Thu từ các công cụ tài chính phái sinh tiền tệ | 3.061.046                                 | 3.053.354                                 |
|                                                | 7.057.250                                 | 6.158.524                                 |
| Chi phí hoạt động kinh doanh ngoại hối         |                                           |                                           |
| Chỉ về kinh doanh ngoại tệ giao ngay và vàng   | (1.309.588)                               | (542.920)                                 |
| Chi về các công cụ tài chính phái sinh tiền tệ | (3.747.498)                               | (4.405.779)                               |
|                                                | (5.057.086)                               | (4.948.699)                               |
| Lãi thuần từ hoạt động kinh doanh ngoại hối    | 2.000.164                                 | 1.209.825                                 |

## 4. Lãi thuần từ chứng khoán kinh doanh, chứng khoán đầu tư và góp vốn, đầu tư dài hạn

|                                                                                    | Từ 01/01/2024 đến 31/12/2024 Triệu đồng   | Từ 01/01/2023 đên 31/12/2023 Triệu đông   |
|------------------------------------------------------------------------------------|-------------------------------------------|-------------------------------------------|
| Lãi/(Iỗ) thuần từ mua bán chứng khoán kinh doanh                                   |                                           |                                           |
| Thu nhập từ mua bán chứng khoán kinh doanh                                         | 2.553.518                                 | 605.511                                   |
| Chi về mua bán chứng khoán kinh doanh                                              | (797.929)                                 | (65.253)                                  |
| (Trích lập)/hoàn nhập dự phòng rủi ro chứng khoán kinh doanh                       | 433                                       | 1.308                                     |
|                                                                                    | 1.756.022                                 | 541.566                                   |
| Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư và đâu tư dài hạn                     |                                           |                                           |
| Thu nhập từ mua bán chứng khoán đầu tư                                             | 3.136.652                                 | 635.361                                   |
| Chi về chứng khoán đầu tư                                                          | (297.115)                                 | (240.718)                                 |
| (Trích lập)/hoàn nhập dự phòng rủi ro chứng khoán đầu tư                           | (7.625)                                   | (73.933)                                  |
| (Trích lập)/hoàn nhập dự phòng giảm giá góp vốn, đầu tư dài hạn                    | (28.807)                                  | (20.306)                                  |
|                                                                                    | 2.803.105                                 | 300.404                                   |
| Lãi thuần từ chứng khoán kinh doanh, chứng khoán đầu tư và góp vốn, đầu tư dài hạn | 4.559.127                                 | 841.970                                   |

## 5. Lãi thuần từ hoạt động kinh doanh khác

|                                             | Từ 01/01/2024 đên 31/12/2024 Triệu đồng   | Từ 01/01/2023 đên 31/12/2023 Triệu đồng   |
|---------------------------------------------|-------------------------------------------|-------------------------------------------|
| Thu từ các khoản nợ đã xử lý                | 2.451.560                                 | 1.711.016                                 |
| Lãi từ các công cụ tài chính phái sinh khác | 97.606                                    | 519.997                                   |
| Thu nhập/(chi phí) khác                     | 731.654                                   | 197.098                                   |
|                                             | 3.280.820                                 | 2.428.111                                 |
