## Công ty Cỗ phần Đầu tư Thế Giới Di Động

THUYÉT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo) vào ngày 31 tháng 12 năm 2024 và cho năm tài chính kết thúc cùng ngày

## 20. THUÉ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC

|                            | Só đầu năm      | Tăng trong năm     | Giảm trong năm       | VND Số cuối năm   |
|----------------------------|-----------------|--------------------|----------------------|-------------------|
| Thuế giá trị gia tăng      | 286.792.734.613 | 18.371.371.698.560 | (18.414.713.559.438) | 243.450.873.735   |
| Thuế thu nhập doanh nghiệp | 111.554.386.348 | 1.125.699.984.548  | (958.914.978.096)    | 278.339.392.800   |
| Thuế thu nhập cá nhân      | 21.906.805.284  | 264.761.853.098    | (274.898.016.057)    | 11.770.642.325    |
| Khác                       | 1.278.091.776   | 63.006.809.545     | (63.623.381.454)     | 661.519.867       |
| TÒNG CÔNG                  | 421.532.018.021 | 19.824.840.345.751 | (19.712.149.935.045) | 534.222.428.727   |

## 21. CHI PHÍ PHẢI TRẢ NGÁN HẠN

|                              | Số cuối năm       | VND Số đầu năm    |
|------------------------------|-------------------|-------------------|
| Thưởng nhân viên             | 2.173.298.807.699 | 671.620.270.474   |
| Các khoản phải trả nhân viên | 284.490.571.133   | 125.992.757.960   |
| Chỉ phí tiện ích             | 104.252.519.589   | 110.411.687.903   |
| Chỉ phí tiếp thị quảng cáo   | 226.847.874.329   | 106.488.464.350   |
| Chi phí đảm bảo tỷ giá       | 251.015.319.915   | 87.461.604.847    |
| Lãi vay phải trả             | 73.936.680.052    | 78.222.091.038    |
| Chi phí hỗ trợ lãi suất      | 118.426.634.122   | 77.444.151.629    |
| Chi phí vận chuyển           | 43.072.169.910    | 52.912.399.636    |
| Chi phí sửa chữa bảo hành    | 20.313.706.363    | 9.939.477.125     |
| Khác                         | 61.285.941.664    | 52.315.360.852    |
| TÔNG CỘNG                    | 3.356.940.224.776 | 1.372.808.265.814 |

## 22. PHẢI TRẢ NGÁN HẠN KHÁC

|                                                    | Số cuối năm     | VND Só đầu năm    |
|----------------------------------------------------|-----------------|-------------------|
| Thu hộ cước phí                                    | 479.922.634.524 | 688.271.640.905   |
| Phiếu mua hàng                                     | 194.760.193.061 | 50.838.045.000    |
| Bảo hiểm y tế, bảo hiểm xã hội, kinh phí công đoàn | 121.051.754.821 | 80.959.816.609    |
| Nhận ký quỹ                                        | 65.985.330.831  | 58.483.136.513    |
| Khác                                               | 43.472.310.865  | 70.315.477.662    |
| Phải trả thư tín dụng                              |                 | 367.698.850.329   |
| TÔNG CỘNG                                          |                 | 1.316.566.967.018 |

B09-DN/HN
