## THUYÉT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo)

tại 31 tháng 12 năm 2024 và cho giai đoạn từ 1 tháng 1 năm 2024 đến 31 tháng 12 năm 2024

## 14. TÀI SẢN CÓ ĐỊNH (tiếp theo)

## 14.2 Tài sản có định vô hình

Biến động tài sản cố định vô hình cho giai đoạn từ 1/1/2024 đến 31/12/2024 như sau:

Đơn vị: triệu đồng

|                                                                              | Quyên sử dụng đât   | Phân mêm vi tính   | TSCĐ vô hình khác   | - Tông cộng   |
|------------------------------------------------------------------------------|---------------------|--------------------|---------------------|---------------|
| Nguyên giá                                                                   |                     |                    |                     |               |
| Tại ngày 1/1/2024                                                            | 2.639.010           | 4.547.852          | 11.922              | 7.198.784     |
| Mua trong kỳ                                                                 | -                   | 1.083.732          | -                   | 1.083.732     |
| Chuyển từ tạm ứng mua sắm tài sản cố định và chỉ phí xây dựng cơ bản dở dang | 1.265               | 947.097            | -                   | 948.362       |
| Thanh lý                                                                     | (679.787)           | (59.278)           | (2.119)             | (741.184)     |
| Phân loại lại                                                                | 500                 | (5.172)            | -                   | (4.672)       |
| Tại ngày 31/12/2024                                                          | 1.960.988           | 6.514.231          | 9.803               | 8.485.022     |
| Hao mòn luỹ kế                                                               |                     |                    |                     |               |
| Tại ngày 1/1/2024                                                            | 57.854              | 1.771.478          | 4.341               | 1.833.673     |
| Hao mòn trong kỳ                                                             | 54.262              | 793.159            | 982                 | 848.403       |
| Thanh lý                                                                     | (25.843)            | (59.278)           | (2.119)             | (87.240)      |
| Tại ngày 31/12/2024                                                          | 86.273              | 2.505.359          | 3.204               | 2.594.836     |
| Giá trị còn lại                                                              |                     |                    |                     |               |
| Tại ngày 1/1/2024                                                            | 2.581.156           | 2.776.374          | 7.581               | 5.365.111     |
| Tại ngày 31/12/2024                                                          | 1.874.715           | 4.008.872          | 6.599               | 5.890.186     |
