## Ngân hàng TMCP Kỹ thương Việt Nam

THUYÉT MINH BÁO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo)

tại 31 tháng 12 năm 2024 và cho giai đoạn từ 1 tháng 1 năm 2024 đến 31 tháng 12 năm 2024

## 23. VÓN VÀ QUỸ

## 23.1 Báo cáo tình hình thay đỗi vốn chủ sở hữu

Cho giai đoạn từ 1/1/2024 đến 31/12/2024:

Đơn vị: triệu đồng

|                                                      |               |                      | Các quỹ                         | Các quỹ                | Các quỹ      | Các quỹ             |                          |                                 |                      |              |
|------------------------------------------------------|---------------|----------------------|---------------------------------|------------------------|--------------|---------------------|--------------------------|---------------------------------|----------------------|--------------|
|                                                      | - Vôn điều lệ | Thặng dư vôn cô phân | Quỹ dự trữ _bô sung vôn điêu lệ | Quỹ dự phòng tài chính | Các quỹ khác | - Tông cộng các quỹ | Lợi nhuận chưa phân phôi | Lợi ích cô đông không kiêm soát | - Vôn chủ sởhữu khác | - Tông cộng  |
| Số dư tại ngày 1/1/2024                              | 35.225.108    | 476.356              | 35.308.682                      | 9.719.471              | 474          | 45.028.627          | 49.013.144               | 1.316.833                       | 555.997              | 131.616.065  |
| Tăng vốn trong kỳ Lợi nhuận thuần                    | 35.423.409    | (476.415)            | (24.181.219)                    | “                      | -            | (24.181.219)        | (10.567.533)             | 2.253                           | -                    | 200.495      |
| trong kỳ                                             | -             | -                    | -                               | -                      | -            | -                   | 21.522.928               | 237.176                         | -                    | - 21.760.104 |
| Trích lập các quỹ dự trữ trong kỳ                    | -             | -                    | 1.968.583                       | 1.971.237              | -            | 3.939.820           | (3.939.820)              | -                               | -                    | -            |
| Trích lập quỹ phúc lợi trong kỳ                      | -             | -                    | -                               | -                      | ¬            | -                   | (36.000)                 | -                               | ¬                    | (36.000)     |
| Sử dụng các quỹ trong kỳ                             | -             | -                    | -                               | (2.579)                | -            | (2.579)             | -                        | -                               | -                    | (2.579)      |
| Chia cô tức trong kỳ                                 | ¬             | ¬                    | ¬                               | ¬                      | ¬            | -                   | (5.283.765)              | (69.771)                        | -                    | (5.353.536)  |
| Nộp bổ sung VAT theo NQ ĐHĐCĐ                        | -             | -                    | -                               | -                      | -            | -                   | — (244.928)              | -                               | -                    | — (244.928)  |
| Công ty con tăng vốn điều lệ từ nguồn vốn chủ sở hữu | ¬             | ¬                    | ¬                               | ¬                      | ¬            | -                   | (8.242.064)              | 1.033.975                       | 7.208.089            | -            |
| Số dư tại ngày 31/12/2024                            | 70.648.517    | (59)                 | 13.096.046                      | 11.688.129             | 474          | 24.784.649          | 42.221.962               | 2.520.466                       | 7.764.086            | 147.939.621  |
