## THUYÉT MINH BẢO CÁO TÀI CHÍNH HỢP NHÁT (tiếp theo) Tại ngảy 31 tháng 12 năm 2024 và cho năm tài chính kết thủc cùng ngày

## 10. CHO VAY KHÁCH HÀNG (tiếp theo)

## 10,4 Phân tích dư nợ cho vay theo ngành

|                                                                                | Ngày 31 tháng 12 năm 2024   |       | Ngày 31 tháng 12    |       |
|--------------------------------------------------------------------------------|-----------------------------|-------|---------------------|-------|
|                                                                                | Triệu đồng                  |       | năm 2023 Triệu đồng | %     |
| Nông nghiệp, lâm nghiệp và thủy sản                                            | 2.054.559                   | 0,30  | 3.041.136           | 0,54  |
| Khai khoảng                                                                    | 1.519.641                   | 0,22  | 1.502.568           | 0,27  |
| Công nghiệp chế biến, chế tạo                                                  | 30.747.223                  | 4,44  | 26.526.255          | 4,68  |
| Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hoà không khí | 861.118                     | 0,12  | 1.408.650           | 0,25  |
| Cung cắp nước; hoạt động quản lý và xử lý rác thải, nước thải                  | 146.870                     | 0,02  | 692.813             | 0,12  |
| Xây dựng                                                                       | 38.725.127                  | 5,59  | 28.271.295          | 4,99  |
| Bán buôn và bán lẻ; sửa chữa ô tô, mö tô, xe máy và xe có động cơ khác         | 70.911.252                  | 10,23 | 53.438.420          | 9,44  |
| Vận tải kho bãi                                                                | 12.164.350                  | 1,76  | 9.817.781           | 1,73  |
| Dịch vụ lưu trú và ăn uống                                                     | 18.952.714                  | 2,74  | 13.296.812          | 2,35  |
| Thông tìn và truyền thông                                                      | 1.042.484                   | 0,15  | 911.727             | 0,16  |
| Hoạt động tài chính, ngân hàng và                                              |                             |       |                     |       |
| bảo hiểm                                                                       | 17.985.239                  | 2,6   | 21.236.503          | 3,75  |
| Hoạt động kinh doanh bắt động sản                                              | 186.736.821                 | 28,95 | 114.894.070         | 20,29 |
| Hoạt động chuyên môn, khoa học và                                              |                             |       |                     |       |
| công nghệ                                                                      | 3.320.412                   | 0,48  | 1.634.569           | 0,29  |
| Hoạt động hành chính vả dịch vụ hỗ trợ                                         | 2.937.827                   | 0,42  | 1.495.928           | 0,26  |
| Hoạt động của Đằng cộng sản, tổ                                                |                             |       |                     |       |
| chức chính trị-xã hội, quản lý Nhà                                             |                             |       |                     |       |
| xã hội bắt buộc                                                                | 10.896                      | 0,00  | 4.870               | 0,00  |
| Giáo dục và đào tạo                                                            | 1.072.488                   | 0,15  | 2.645.282           | 0,47  |
| Y tế và hoạt động trợ giúp xã hội                                              | 591.474                     | 0,09  | 1.219.198           | 0,22  |
| Nghệ thuật, vui chơi và giải trí                                               | 3.546.017                   | 0,51  | 3.891.018           | 0,69  |
| Hoạt động dịch vụ khác                                                         | 2.274.013                   | 0,33  | 2.012.512           | 0,36  |
| Hoạt động làm thuê các công việc                                               |                             |       |                     |       |
| vật chất và dịch vụ tự tiêu dùng của hộ                                        |                             |       |                     |       |
| gia đinh                                                                       | 193.909.402                 | 27,98 | 185.376.652         | 32,72 |
| Cho vay cá nhân để mua nhà ở, nhận                                             |                             |       |                     |       |
| quyền sử dụng đất để xây nhà ở Cho                                             | 93.853.675                  | 13,55 | 85.785.626          | 15,15 |
| trước cho khách hàng                                                           | 9.512.536                   | 1,37  | 7.167.605           | 1,27  |
|                                                                                | 692.875.738                 | 100   | 566.271.290         | 400   |

\_\_—S5Ö

;”.”.—:
