| 1 1   | Laborer M. Jan 200 Marie                         | 1 1  | 1    |                    |                                       |
|-------|--------------------------------------------------|------|------|--------------------|---------------------------------------|
| IV    | Tài sản đở dang dài hạn                          | 240  |      | 1,191,925,809,142  | 296,545,648,857                       |
| . 1 . | Chi phí sản xuất kinh doanh dài hạn              | 241  |      | -                  | -                                     |
| 2     | Chi phí xây dựng cơ bản đở đang                  | 242  | 20   | 1,191,925,809,142  | 296,545,648,857                       |
| V     | Các khoản đầu tư tài chính dài hạn               | 250  |      | 254,658,998,561    | 1,328,109,477,624                     |
| 1     | Đầu tư vào công ty con                           | 251  |      | -                  | -                                     |
| 2     | Đầu tư vào công ty liên kết, liên doanh          | 252  | 5.7  | 224,282,405,940    | 1,328,109,477,624                     |
| 3     | Đầu tư góp vốn vào đơn vị khác                   | 253  |      | 30,376,592,621     | -                                     |
| 4     | Dự phòng đầu tư tài chính dài hạn                | 254  |      | -                  | - <u>-</u>                            |
| . 5   | Đầu tư nắm giữ đến ngày đáo hạn                  | 255  |      | -                  | <u>-</u>                              |
| V     | Tài sản dài hạn khác                             | 260  |      | 1,072,588,844,430  | 863,936,958,974                       |
| 1     | Chi phí trả trước dài hạn                        | 261  |      | 902,848,514,371    | 801,659,156,249                       |
| 2     | Tài sản thuế thu nhập hoãn lại                   | 262  |      | 13,309,694,402     | 14,479,007,591                        |
| 3     | Thiết bị, vật tư, phụ tùng thay thế dài hạn      | 263  |      | 4                  |                                       |
| 3     | Tài sản dài hạn khác                             | 268  | 4    | 4                  | -                                     |
| 3     | Lợi thế thương mại                               | 269  |      | 156,430,635,657    | 47,798,795,134                        |
|       | TỔNG CỘNG TÀI SẨN                                | 270  |      | 13,747,883,594,730 | 11,583,445,505,916                    |
| A -   | NO PHẢI TRẢ                                      | 300  |      | 7,512,721,392,568  | 5,619,574,565,686                     |
| I     | Nợ ngắn hạn                                      | 310  | _    | 4,026,705,299,378  | 3,737,041,187,457                     |
| 1     | Phải trả người bán ngắn hạn                      | 311  | 1    | 852,891,064,919    | 517,381,867,012                       |
| 2     | Người mua trả tiền trước ngắn hạn                | 312  |      | 135,107,451,609    | 119,139,197,505                       |
| 3     | Thuế và các khoản phải nộp Nhà nước              | 313  |      | 89,174,303,250     | 17,885,562,142                        |
| 4     | Phải trả người lao động                          | 314  |      | 67,392,742,893     | 35,061,256,954                        |
| 5     | Chi phí phải trả ngắn hạn                        | 315  |      | 92,479,036,951     | 133,779,599,628                       |
| 6     | Phải trả nội bộ ngắn hạn                         | 316  |      | =                  | =                                     |
| 7     | Phải trả theo tiến độ kế hoạch hợp đồng xây dựng | 317  |      | -                  | =                                     |
| 8     | Doanh thu chưa thực hiện ngắn hạn                | 318  |      | 111,467,190,914    | 116,182,822,055                       |
| 9     | Các khoản phải trả, phải nộp ngắn hạn khác       | 319  | 5.8  | 170,259,883,627    | 168,620,540,558                       |
| 10    | Vay và nợ thuê tài chính ngắn hạn                | 320  | 5.9  | 2,463,850,484,024  | 2,625,493,361,179                     |
| 11    | Dự phòng phải trả ngắn hạn                       | 321  | 10   | 4,336,059,930      | *                                     |
| 12    | Quỹ khen thưởng phúc lợi                         | 322  |      | 39,747,081,261     | 3,496,980,424                         |
| 13    | Quỹ bình ổn giá                                  | 323  |      | _                  | -                                     |
| 14    | Giao dịch mua bán lại trái phiếu chính phủ       | 324  | - 1  | -                  | = .                                   |
| II    | Nợ dài hạn                                       | 330  |      | 3,486,016,093,190  | 1,882,533,378,229                     |
| 1     | Phải trả dài hạn người bán                       | 331  |      | -                  | · · · · · · · · · · · · · · · · · · · |
| 2     | Người mua trả tiền trước dài hạn                 | 332  |      | -                  |                                       |
| 3     | Chi phí phải trả dài hạn                         | 333  |      | -                  |                                       |
| 4     | Phải trả nội bộ về vốn kinh doanh                | 334  |      | -                  | -                                     |
| 5     | Phải trả nội bộ dài hạn                          | 335  |      | -                  | <b>*</b>                              |
| 6     | Doanh thu chưa thực hiện dài hạn                 | 336  |      | 2,039,511,700,402  | 1,498,211,375,163                     |
| 7     | Phải trả dài hạn khác                            | 337  |      | 3,948,813,984      | 8,828,368,337                         |
| 8     | Vay và nợ thuê tài chính dài hạn                 | 338  | 5.9  | 1,430,625,573,829  | 358,856,724,282                       |
| 9     | Trái phiếu chuyển đổi                            | 339  |      |                    | <u> </u>                              |
| 10    | Cổ phiếu ưu đãi                                  | 340  |      | -                  |                                       |
| 11    | Thuế thu nhập hoãn lại phải trả                  | 341  |      | 11,930,004,975     | 12,438,709,938                        |
| 12    | Dự phòng phải trả dài hạn                        | 342  |      | -                  | 4,198,200,509                         |
| 13    | Quỹ phát triển khoa học và công nghệ             | 343  |      | A=                 | -                                     |
| В -   | VÓN CHỦ SỞ HỮU                                   | 400  |      | 6,235,162,202,162  | 5,963,870,940,230                     |
| I     | Vốn chủ sở hữu                                   | 410  | 5.10 | 6,235,162,202,162  | 5,963,870,940,230                     |
| 1     | Vốn góp của chủ sở hữu                           | 411  |      | 3,822,744,960,000  | 3,822,744,960,000                     |
|       | - Cổ phiếu phổ thông có quyền biểu quyết         | 411a | 7    | 3,822,744,960,000  | 3,822,744,960,000                     |
| 2     | - Cổ phiếu ưu đãi                                | 411b |      |                    |                                       |
| 2     | Thặng dư vốn cổ phần                             | 412  |      | 823,946,323,817    | 823,946,323,817                       |
| 3     | Quyền chọn chuyển đổi trái phiếu                 | 413  |      |                    |                                       |
| 4     | Vốn khác của chủ sở hữu                          | 414  |      | 18,751,291,534     | 18,751,291,534                        |
| 5     | Cổ phiếu quỹ                                     | 415  |      |                    |                                       |
| 6     | Chênh lệch đánh giá lại tài sản                  | 416  |      |                    |                                       |
| 7     | Chênh lệch tỷ giá hối đoái                       | 417  |      | 35,395,894,717     | 22,441,429,244                        |
| 8     | Quỹ đầu tư phát triển                            | 418  |      | 80,481,616,464     | 80,481,616,464                        |
| 9     | Quỹ hỗ trợ sắp xếp doanh nghiệp                  | 419  |      |                    |                                       |
| 10    | Quỹ khác thuộc vốn chủ sở hữu                    | 420  |      | 13,177,404,323     | 13,177,404,323                        |
| 11    | Lợi nhuận sau thuế chưa phân phối                | 421  | l    | 529,234,437,505    | 562,622,505,805                       |
