## CÔNG TY CỔ PHẦN NHỰA AN PHÁT XANH

Lô CN 11+CN 12 Cụm CN An Đồng Nam Sách – Hải Dương

Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính

MĂU SÓ B 09A – DN/HN

BÁO CÁO TÀI CHÍNH HỢP NHẤT

## 5. THÔNG TIN BÔ SUNG TRÊN BẢNG CÂN ĐÓI KẾ TOÁN (TIẾP THEO)

## 5.5 TÀI SẨN CÓ ĐỊNH THUỀ TÀI CHÍNH

| Khoản mục                       | Máy móc<br>thiết bị<br>VND | Phương tiện<br>vận tải<br>VND | Tổng cộng<br>VND |
|---------------------------------|----------------------------|-------------------------------|------------------|
| NGUYÊN GIÁ                      |                            |                               |                  |
| 01/01/2024                      |                            | •                             |                  |
| Tăng do hợp nhất giữa kỳ        | 58.048.133.522             | 293.883.333                   | 58.342.016.855   |
| 31/12/2024                      | 58.048.133.522             | 293.883.333                   | 58.342.016.855   |
| GIÁ TRỊ HAO MÒN LỮY KẾ          |                            |                               |                  |
| 01/01/2024<br>Khấn hao trong kỳ | 1.522.811.310              | 10.500.000                    | 1.533.311.310    |
| 31/12/2024                      | 1.522.811.310              | 10.500.000                    | 1.533.311.310    |
| GIÁ TRỊ CÒN LẠI                 |                            |                               |                  |
| 01/01/2024                      |                            |                               | ř.               |
| 31/12/2024                      | 56.525.322.212             | 283.383.333                   | 56.808.705.545   |
