## CÔNG TY CỔ PHẦN FPT

Số 10 phố Phạm Văn Bạch Phường Dịch Vọng, Quận Cầu Giấy Thành phố Hà Nội, Việt Nam

Báo cáo tài chính hợp nhất Cho kỳ hoạt động từ ngày 01 tháng 01 năm 2024 đến ngày 31 tháng 12 năm 2024

THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (tiếp theo) Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính hợp nhất kèm theo

MẪU SỐ B 09-DN/HN

| STT | Công ty                                                                  | Hoạt động chính                                                               | Nơi thành<br>lập, đăng ký<br>hoat động | Tại ngày 31/12/2024 |                     | Tại ngày 31/12/2023   |                    |
|-----|--------------------------------------------------------------------------|-------------------------------------------------------------------------------|----------------------------------------|---------------------|---------------------|-----------------------|--------------------|
|     |                                                                          |                                                                               |                                        | Tỷ lệ<br>sở hữu     | Tỷ lệ<br>biểu quyết | Tỷ lệ                 | Tỷ lệ              |
| 85  | Công ty TNHH Đầu tư và Phát triển Hệ thống đấu<br>thầu qua mạng quốc gia | Giải pháp ứng dụng thương mại<br>điện tử trong hoạt động mua sắm<br>chính phủ | Việt Nam                               | 100%                | 100%                | <b>sở hữu</b><br>100% | biểu quyết<br>100% |
| 86  | Công ty Cổ phần Truyền thông TechUp                                      | Xuất bản phần mềm                                                             | Việt Nam                               | 73,75%              | 73,75%              | 73,75%                | 73 750/            |
| 87  | Công ty Cổ phần bán dẫn FPT                                              | Sản xuất linh kiện điện tử                                                    | Viêt Nam                               | 94,99%              | 94,99%              | ,                     | 73,75%             |
| 88  | Công ty TNHH MTV Giải pháp Công nghệ FPT                                 | Tích hợp hệ thống, dịch vụ và giải<br>pháp phần mềm                           | Việt Nam                               | 100%                | 100%                | 94,99%<br>100%        | 94,99%<br>100%     |
| 89  | Công ty TNHH MTV Viễn thông FPT Tân Thuận                                | Dịch vụ internet tốc độ cao và các<br>dịch vụ viễn thông khác                 | Việt Nam                               | 45,66%              | 100%                | 45,66%                | 100%               |
| 90  | Công ty TNHH MTV Viễn thông Quốc tế FPT                                  | Dịch vụ internet tốc độ cao và các<br>dịch vụ viễn thông khác                 | Việt Nam                               | 45,66%              | 100%                | 45,66%                | 100%               |
| 91  | Công ty Cổ phần Công nghệ Viễn thông FPT                                 | Dịch vụ internet tốc độ cao và các<br>dịch vụ viễn thông khác                 | Việt Nam                               | 45,66%              | 99,999%             | 45,66%                | 99,999%            |
| 92  | Công ty TNHH Truyền hình FPT                                             | Dịch vụ truyền hình                                                           | Viêt Nam                               | 45,66%              | 100%                | 45,66%                | 100%               |
| 93  | Công ty TNHH MTV Viễn thông FPT Thăng Long                               | Dịch vụ internet tốc độ cao và các<br>dịch vụ viễn thông khác                 | Việt Nam                               | 45,66%              | 100%                | •                     | ua thành lập       |

12 1 120
