## Ngân hàng Thương mại Cổ phần Quân đội

Địa chỉ: Số 18 Lê Văn Lương - Trung Hòa - Cầu Giấy - Hà Nội

## BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT Tại ngày 31 tháng 12 năm 2024

|                                                                                                    |                  |                                | 31/12/2023              |
|----------------------------------------------------------------------------------------------------|------------------|--------------------------------|-------------------------|
|                                                                                                    | Thuyết           | 31/12/2024                     | đã kiểm toán            |
|                                                                                                    | minh             | triệu đồng                     | triệu đồng              |
| TÀI SẢN                                                                                            |                  |                                |                         |
| Tiền mặt, vàng bạc, đá quý                                                                         | III.1            | 3.349.166                      | 3.675.394               |
| Tiền gửi tại Ngân hàng Nhà nước ("NHNN")                                                           | III.2            | 29.825.253                     | 66.321.652              |
| Tiền, vàng gửi và cho vay các tổ chức tín dụng ("TCTD")                                            | III.3            | 76.785.622                     | 46.343.813              |
| Chứng khoán kinh doanh                                                                             | III.4            | 7.931.655                      | 44.250.788              |
| Chứng khoán kinh doanh                                                                             |                  | 7.931.834                      | 44.251.400              |
| Dự phòng rủi ro chứng khoán kinh doanh<br>Các công cụ tài chính phái sinh và các tài sản tài chính |                  | (179)                          | (612                    |
| khác                                                                                               | III.18           |                                | 141.294                 |
| Cho vay khách hàng                                                                                 |                  | 765.047.985                    | 599.579.267             |
| Cho vay khách hàng                                                                                 | 111.5            | 776.657.846                    | 611.048.830             |
| Dự phòng rủi ro cho vay khách hàng                                                                 | 111.6            | (11.609.861)                   |                         |
| Hoạt động mua nợ                                                                                   | 111.7            | 951.509                        |                         |
| Mua nợ                                                                                             |                  | 1.041.362                      | 1.848.863               |
| Dự phòng rủi ro hoạt động mua nợ<br>Chứng khoán đầu tư                                             | 111.8            | (89.853)<br><b>209.637.377</b> | (58.995)<br>147.923.205 |
|                                                                                                    | III.8.1          | 205.507.956                    |                         |
| Chứng khoán đầu tư sẵn sàng để bán                                                                 | 1                |                                |                         |
| Chứng khoán đầu tư giữ đến ngày đáo hạn                                                            | III.7 <i>.</i> 2 | 4.612.504                      |                         |
| Dự phòng rủi ro chứng khoán đầu tư                                                                 |                  | (483.083)                      |                         |
| Góp vốn, đầu tư dài hạn                                                                            | 111.9            | 609.477                        | 615.785                 |
| Đầu tư dài hạn khác                                                                                | III.9.1          | 775.670                        | 779.587                 |
| Dự phòng giảm giá đầu tư dài hạn                                                                   |                  | (166.193)                      |                         |
| Tài sản cố định                                                                                    |                  | 5.430.416                      | 4.854.186               |
| Tài sản cố định hữu hình                                                                           | III.10           | 3.750.696                      | 3.194.404               |
| Nguyên giá tài sản cố định                                                                         |                  | 9.014.672                      | 7.732.608               |
| Hao mòn tài sản cố định                                                                            |                  | (5.263.976)                    | (4.538.204)             |
| Tài sản cố định vô hình                                                                            | III.11           | 1.679.720                      | 1.659.782               |
| Nguyên giá tài sản cố định                                                                         |                  | 4.976.669                      | 4.196.144               |
| Hao mòn tài sản cố định                                                                            |                  | (3.296.949)                    | (2.536.362)             |
| Bất động sản đầu tư                                                                                | 111.12           | 234.115                        | 240.294                 |
| Nguyên giá bất động sản đầu tư                                                                     |                  | 260.415                        | 260.415                 |
| Hao mòn bất động sản đầu tư                                                                        |                  | (26.300)                       | (20.121)                |
| Tài sản Có khác                                                                                    |                  | 28.998.487                     | 29.218.094              |
| Các khoản phải thu                                                                                 | III.13           | 14.360.628                     | 14.289.084              |
| Các khoản lãi, phí phải thu                                                                        |                  | 8.918.622                      | 8.668.557               |
| Tài sản thuế TNDN hoãn lại                                                                         |                  | 38.912                         | 28.710                  |
| Tài sản Có khác                                                                                    | III.14           | 5.873.749                      | 6.406.669               |
| Trong đó: Lợi thế thương mại                                                                       |                  | 9.523                          | 19.045                  |
| Dự phòng rủi ro cho các tài sản Có nội bảng khác                                                   |                  | (193.424)                      | (174.926)               |
| TÔNG TÀI SẢN CÓ                                                                                    |                  | 1.128.801.062                  | 944.953.640             |
