BẢNG CÂN ĐỚI KẾ TOÁN HỢP NHẤT vào ngày 31 tháng 12 năm 2024

VND

|                |          |                                                                             |                |                                        | VND                                     |
|----------------|----------|-----------------------------------------------------------------------------|----------------|----------------------------------------|-----------------------------------------|
| Mã<br>số       | TÀI      | SÅN                                                                         | Thuyết<br>minh | Số cuối năm                            | Số đầu năm                              |
| 100            | A.       | TÀI SẢN NGẮN HẠN                                                            |                | 65.774.193.760.868                     | 51.950.337.976.047                      |
| 110            | I.       | Tiền và các khoản<br>tương đương tiền                                       | 5              | 5.697.331.540.730                      | 5.365.704.857.172                       |
| 111<br>112     |          | <ol> <li>Tiền</li> <li>Các khoản tương đương tiền</li> </ol>                |                | 4.697.331.540.730<br>1.000.000.000.000 | 4.795.636.583.222<br>570.068.273.950    |
| <b>120</b> 123 | II.      | Đầu tư tài chính ngắn hạn<br>1. Đầu tư nắm giữ đến ngày                     |                | 28.524.441.756.320                     | 18.937.008.073.823                      |
|                |          | đáo hạn                                                                     | 6              | 28.524.441.756.320                     | 18.937.008.073.823                      |
| <b>130</b> 131 | III.     | Các khoản phải thu ngắn hạn  1. Phải thu ngắn hạn của                       |                | 8.763.667.365.598                      | 5.158.853.337.785                       |
| 132            |          | khách hàng<br>2. Trả trước cho người bán                                    | 7              | 241.405.396.887                        | 308.474.343.927                         |
|                |          | ngắn hạn                                                                    | 8              | 53.659.523.938                         | 95.981.093.251                          |
| 135            |          | 3. Phải thu về cho vay ngắn hạn                                             | 9              | 6.037.714.596.101                      | 2.085.917.697.638                       |
| 136            |          | 4. Phải thu ngắn hạn khác                                                   | 10             | 2.430.887.848.672                      | 2.668.480.202.969                       |
| 140            | IV.      | Hàng tồn kho                                                                | 11             | 22.244.676.326.705                     | 21.824.235.626.176                      |
| 141<br>149     |          | <ol> <li>Hàng tồn kho</li> <li>Dự phòng giảm giá</li> </ol>                 |                | 22.667.774.012.643                     | 22.028.684.523.096                      |
| 12 1.5         |          | hàng tồn kho                                                                |                | (423.097.685.938)                      | (204.448.896.920)                       |
| 150            | V.       | Tài sản ngắn hạn khác                                                       |                | 544.076.771.515                        | 664.536.081.091                         |
| 151            |          | <ol> <li>Chi phí trả trước ngắn hạn</li> </ol>                              | 12             | 390.391.360.669                        | 481.240.961.302                         |
| 152<br>153     |          | <ol> <li>Thuế GTGT được khẩu trừ</li> <li>Thuế và các khoản khác</li> </ol> |                | 121.055.116.271                        | 159.821.188.825                         |
|                | _        | phải thu Nhà nước                                                           |                | 32.630.294.575                         | 23.473.930.964                          |
| 200            | 200      | TÀI SẢN DÀI HẠN                                                             |                | 4.444.515.969.194                      | 8.160.899.236.677                       |
| <b>210</b> 215 | I.       | Phải thu dài hạn<br>1. Phải thu về cho vay dài hạn                          |                | 389.707.802.472                        | <b>457.569.986.630</b><br>9.244.973.329 |
| 216            |          | Phải thu dài hạn khác                                                       | 13             | 389.707.802.472                        | 448.325.013.301                         |
| <b>220</b> 221 | II.      | <i>Tài sản cố định</i><br>1. Tài sản cố định hữu hình                       |                | 3.586.628.664.045                      | 6.500.135.608.914                       |
|                |          |                                                                             | 14             | 3.523.161.097.906                      | 6.431.315.373.113                       |
| 222            |          | Nguyên giá                                                                  |                | 19.174.626.383.752                     | 20.139.282.722.977                      |
| 223            |          | Giá trị khấu hao lũy kế                                                     |                | (15.651.465.285.846)                   | (13.707.967.349.864)                    |
| 227            |          | 2. Tài sản cố định vô hình                                                  | 15             | 63.467.566.139                         | 68.820.235.801                          |
| 228            |          | Nguyên giá                                                                  |                | 90.297.772.827                         | 90.297.772.827                          |
| 229            |          | Giá trị hao mòn lũy kế                                                      |                | (26.830.206.688)                       | (21.477.537.026)                        |
| 240<br>242     | III.     | <i>Tài sản dở dang dài hạn</i><br>1. Chi phí xây dựng cơ bản                |                | 24.526.423.340                         | 4.493.856.934                           |
|                | November | dở dang                                                                     | 16             | 24.526.423.340                         | 4.493.856.934                           |
| 250            | IV.      | Đầu tự tài chính dài hạn                                                    | 635-674        | 242.035.797.830                        | 746.632.252.729                         |
| 252            |          | <ol> <li>Đầu tư vào công ty liên doanh</li> </ol>                           | 18             | 242.035.797.830                        | 286.632.252.729                         |
| 255            |          | <ol><li>Đầu tư nắm giữ đển ngày</li></ol>                                   |                |                                        |                                         |
|                |          | đáo hạn                                                                     |                | -                                      | 460.000.000.000                         |
| 260            | V.       | Tài sản dài hạn khác                                                        |                | 201.617.281.507                        | 452.067.531.470                         |
| 261            |          | <ol> <li>Chi phí trả trước dài hạn</li> </ol>                               | 12             | 68.471.833.530                         | 105.411.103.799                         |
| 262            |          | 2. Tài sản thuế thu nhập hoãn lại                                           | 30.3           | 133.145.447.977                        | 101.088.939.200                         |
| 269            |          | Lợi thế thương mại                                                          | 17             |                                        | 245.567.488.471                         |
| 270            | TĈ       | NG CỘNG TÀI SẢN                                                             |                | 70.218.709.730.062                     | 60.111.237.212.724                      |
