## BÁO CÁO TÌNH HÌNH TÀI CHÍNH HỢP NHẤT

Tại ngày 31 tháng 12 năm 2024

Đơn vị tính: Triệu đồng

|    | Chỉ tiêu                                                                      | Thuyết | Số cuối kỳ                      | Số đầu năm                              |
|----|-------------------------------------------------------------------------------|--------|---------------------------------|-----------------------------------------|
| A. | TÀI SẨN                                                                       |        |                                 |                                         |
| 1  | Tiền mặt, vàng bạc, đá quý                                                    | 5      | 1.563.509                       | 1.370.849                               |
| 11 | Tiền gửi tại NHNN                                                             | 6      | 27.440.936                      | 54.763.646                              |
| m  | Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác                     | 7      | 117.348.823                     | 63.548.928                              |
|    | Tiền, vàng gửi tại các TCTD khác                                              |        | 92.635.563                      | 54.825.905                              |
| 2  | Cho vay các TCTD khác                                                         |        | 24.713.260                      | 8.841.433                               |
| 3  | Dự phòng rủi ro cho vay các TCTD khác                                         |        | -                               | (118.410)                               |
| IV | Chứng khoán kinh doanh                                                        | 8      | 4.910.456                       | 7.792.742                               |
|    | Chứng khoán kinh doanh                                                        |        | 4.949.608                       | 7.853.152                               |
|    | Dự phòng giảm giá chứng khoán kinh doanh                                      |        |                                 |                                         |
|    | Các công cụ tài chính phái sinh và các tài sản tài chính khác                 | 9      | (39.152)                        | (60.410)                                |
|    | Cho vay khách hàng                                                            | 9      |                                 | 100000000000000000000000000000000000000 |
|    |                                                                               |        | 510.998.820                     | 429.362.729                             |
|    | Cho vay khách hàng                                                            | 10     | 519.949.991                     | 438.464.147                             |
|    | Dự phòng rủi ro cho vay khách hàng<br>Chứng khoán đầu tư                      | 11     | (8.951.171)                     | (9.101.418)                             |
|    | Chứng khoán đầu tư sẵn sàng để bán                                            |        | 32.336.908                      | 32.063.660                              |
|    | Chứng khoản đầu tư san sang để ban<br>Chứng khoản đầu tư giữ đến ngày đáo hạn | 12,1   | 14.956.915                      | 14.373.759                              |
|    | Dự phòng giảm giá chứng khoán đầu tư                                          | 12,2   | 17.812.962                      | 17.833.636                              |
|    | Góp vốn, đầu tư dài hạn                                                       | 13     | (432.969)                       | (143.735)                               |
| 1  | Đầu tư vào công ty con                                                        | 13     | 438.197                         | 414.448                                 |
| 2  | Vốn góp liên doanh                                                            |        |                                 |                                         |
| 3  | Đầu tư vào công ty liên kết                                                   |        | 363,920                         | 343.172                                 |
| 4  | Đầu tư dài hạn khác                                                           |        | 158.272                         | 158.272                                 |
| 5  | Dự phòng giảm giá đầu tư dài hạn                                              |        | (83.995)                        | (86.996)                                |
| IX | Tài sản cố định                                                               |        | 5.328.025                       | 5.229.416                               |
| 1  | Tài sản cố định hữu hình                                                      | 14,1   | 826.882                         | 734.978                                 |
| а  | Nguyễn giá TSCĐ hữu hình                                                      |        | 1.580.969                       | 1.528.503                               |
| b  | Hao mòn TSCĐ hữu hình                                                         |        | (754.087)                       | (793.525)                               |
| 2  | Tài sản cố định thuê tài chính                                                |        | (/34.00/)                       | (755.525)                               |
|    | Nguyên giá TSCĐ                                                               |        |                                 |                                         |
|    | Hao mòn TSCD                                                                  |        |                                 |                                         |
|    | Tài sản cố định vô hình                                                       | 14,2   | 4 501 143                       |                                         |
| a  | Nguyên giá TSCĐ vô hình                                                       | 14,2   | 4.501.143                       | 4.494.438                               |
|    |                                                                               |        | 4.863.891                       | 4.825.929                               |
|    | Hao mòn TSCĐ vô hình<br>Bất động sản đầu tư                                   |        | (362.748)                       | (331.491)                               |
|    |                                                                               |        |                                 | 7                                       |
|    | Nguyên giá BĐSĐT                                                              |        | 1.5                             |                                         |
| ь  | Hao mòn BĐSĐT                                                                 |        |                                 | The second second                       |
| ×  | Tài sản Có khác                                                               |        | 46.878.174                      | 35.954.267                              |
| 1  | Các khoản phải thu                                                            |        | 33.485.000                      | 18.860.662                              |
|    | Các khoản lãi, phí phải thu<br>Tài sản thuế TNDN hoãn lại                     |        | 12.126.090                      | 13.949.182                              |
|    | Tài sản thuế TNDN hoàn lại<br>Tài sản Có khác                                 |        |                                 |                                         |
|    | tai san co khac<br>Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác | 15     | 1.385.896                       | 3.230.825                               |
|    | S TÀI SÁN CÓ                                                                  |        | (118.812)<br><b>747.243.848</b> | (86.402)<br><b>630.500.685</b>          |
