## NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN SÀI GÒN – HÀ NỘI THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (Tiếp theo)

## 28.2.Báo cáo bộ phận theo khu vực địa lý

|                                                              | Míền Bắc<br>Triệu VND | Miền Nam<br>Triệu VND | Miền Trung<br>Triệu VND | Nước ngoài<br>Triệu VND | Tổng cộng<br>Triệu VND |
|--------------------------------------------------------------|-----------------------|-----------------------|-------------------------|-------------------------|------------------------|
| Từ 01/01/2024 đến 31/12/2024                                 |                       |                       |                         |                         |                        |
| Kết quả kinh doanh bộ phận                                   |                       |                       |                         |                         |                        |
| Thu nhập lãi thuần                                           | 16.620.992            | 2.649.969             | 1.135.599               | 721.169                 | 21.127.729             |
| Lãi thuần từ hoạt động dịch vụ                               | 879.891               | 368.970               | 22.413                  | 289                     | 1.271.563              |
| Lãi thuần từ hoạt động kinh doanh ngoại hối                  | 46.511                | 32.419                | 6.913                   | 439                     | 86.282                 |
| Lãi/(lỗ) thuần từ mua bán chứng khoán đầu tư                 | (137.063)             | 3.472                 | 9                       | 1.4                     | (133.582)              |
| Lãi thuần từ hoạt động khác                                  | 835.552               | 76.695                | 189.119                 | 860                     | 1.102.226              |
| Thu nhập từ góp vốn, mua cổ phần                             | 20.908                |                       | -                       | -                       | 20.908                 |
| Chi phí hoạt động<br>Lợi nhuận thuần từ hoạt động kinh doanh | (4.365.122)           | (821.443)             | (397.603)               | (165.143)               | (5.749.311)            |
| trước chi phí dự phòng rủi ro tín dụng                       | 13.904.998            | 2.310.082             | 956.450                 | 557.614                 | 17.729.144             |
| Chi phí dự phòng rủi ro tín dụng                             | (4.634.019)           | (864.207)             | (390.201)               | (297.710)               | (6.186.137)            |
| Tổng lợi nhuận trước thuế                                    | 9.270.979             | 1.445.875             | 566.249                 | 259.904                 | 11.543.007             |
|                                                              |                       |                       |                         |                         |                        |
