BÁO CÁO KẾT QUẢ HOẠT ĐỘNG HỢP NHẤT cho giai đoạn từ ngày 1 tháng 1 năm 2024 đến ngày 31 tháng 12 năm 2024

|                                                               |                  | Quý IV      |                          | Lũy kế từ đầu năm                       |                           |
|---------------------------------------------------------------|------------------|-------------|--------------------------|-----------------------------------------|---------------------------|
|                                                               |                  |             |                          | Từ 1/1/2024                             | Từ 1/1/2023               |
|                                                               | Thuyết           | 2024        | _                        | đến 31/12/2024                          |                           |
|                                                               | minh             | triệu đồng  | triệu đồng               | triệu đồng                              | triệu đồng                |
|                                                               |                  |             |                          |                                         |                           |
| Thu nhập lãi và các khoản                                     | 24               | 15.064.961  | 14.444.980               | 60.089.462                              | 56.707.759                |
| thu nhập tương tự<br>Chi phí lãi và các chi phí tương tự      | 24<br>25         | (6.463.144) | (6.847.777)              | (24.581.499)                            | (29.016.639)              |
| Thu nhập lãi thuần                                            | 23               | 8.601.817   | 7.597.203                | 35.507.963                              | 27.691.120                |
| Thu nhập từ hoạt động dịch vụ                                 |                  | 2.262.105   | 3.203.500                | 10.961.642                              | 11.378.085                |
| Chi phí hoạt động dịch vụ                                     |                  | (799.263)   | (707.749)                | (2.919.394)                             | (2.663.188)               |
| Lãi thuần từ hoạt động dịch vụ                                | 26               | 1.462.842   | 2.495.751                | 8.042.248                               | 8.714.897                 |
| Lãi/(lỗ) thuần từ hoạt động                                   |                  |             |                          |                                         |                           |
| kinh doanh ngoại hối                                          | 27               | (424.270)   | 312.534                  | 592.556                                 | 195.750                   |
| Lãi thuần từ mua bán chứng                                    |                  |             |                          |                                         |                           |
| khoán kinh doanh                                              | 28               | 2.001       | 32.233                   | 81.301                                  | 64.620                    |
| Lãi thuần từ mua bán<br>chứng khoán đầu tư                    | 29               | 249.851     | 247.528                  | 2.359.057                               | 925.833                   |
| Thu nhập từ hoạt động khác                                    | 29               | 3.884.139   | 1.224.044                | 9.324.928                               | 6.459.694                 |
| Chi phí hoạt động khác                                        |                  | (4.221.848) | (915.472)                | (8.982.217)                             | (4.025.578)               |
| Lãi/(lỗ) thuần từ hoạt động khác                              | 30               | (337.709)   | 308.572                  | 342.711                                 | 2.434.116                 |
| Thu nhập từ góp vốn,                                          |                  | (0011100)   | 000.01.2                 | 0.2                                     | 2.101110                  |
| mua cổ phần                                                   | 31               | 67          | 23.633                   | 64.561                                  | 34.756                    |
| Tổng thu nhập hoạt động                                       |                  | 9.554.599   | 11.017.454               | 46.990.397                              | 40.061.092                |
| Chi phí hoạt động                                             | 32               | (4.740.723) | (3.610.089)              | (15.369.735)                            | (13.251.796)              |
| Lợi nhuận thuần từ hoạt động                                  |                  |             |                          |                                         |                           |
| kinh doanh trước chi phí dự                                   |                  | 4.813.876   | 7 407 265                | 24 620 662                              | 26 800 206                |
| phòng rủi ro tín dụng                                         |                  | (117.844)   | 7.407.365<br>(1.634.295) | 31.620.662<br>(4.082.294)               | 26.809.296<br>(3.921.068) |
| Chi phí dự phòng rủi ro tín dụng<br>Tổng lợi nhuận trước thuế | 33               |             | 5.773.070                | 27.538.368                              | 22.888.228                |
| Chi phí thuế thu nhập                                         |                  | 4.696.032   | 5.773.070                | 27.538.368                              | 22.888.228                |
| doanh nghiệp hiện hành                                        | 22.1             | (1.282.376) | (1.295.383)              | (5.787.711)                             | (4.706.721)               |
| Thu nhập thuế thu nhập doanh                                  |                  | ,           | ,                        | ,                                       | ,                         |
| nghiệp hoãn lại                                               | 22.3             | 6.455       | 3.928                    | 9.447                                   | 9.359                     |
| Chi phí thuế thu nhập<br>doanh nghiệp                         |                  | (1.275.921) | (1.291.455)              | (5.778.264)                             | (4.697.362)               |
| · · · · · · · · · · · · · · · · · · ·                         |                  | 3.420.111   | 4.481.615                | 21.760.104                              | 18.190.866                |
| Lợi nhuận sau thuế                                            |                  | 3.420.111   | 4.401.013                | 21.700.104                              | 10.130.000                |
| Lợi ích cổ đông không<br>kiểm soát                            |                  | (49.046)    | (42.706)                 | (237.176)                               | (187.064)                 |
| Lợi nhuận thuần của cổ đông                                   |                  |             |                          |                                         |                           |
| của Ngân hàng                                                 |                  | 3.371.065   | 4.438.909                | 21.522.928                              | 18.003.802                |
|                                                               |                  |             |                          |                                         |                           |
| Người lập:                                                    | Người phê duyệt: |             | Người phê duyệt:         |                                         |                           |
|                                                               |                  |             | •                        | J , , , , , , , , , , , , , , , , , , , |                           |
|                                                               |                  |             |                          |                                         |                           |
|                                                               |                  |             |                          |                                         |                           |
| Bà Hoàng Thị Thu Hằng                                         |                  |             |                          | ng Jens Lottner                         |                           |
| Kế toán                                                       | Kế toán Trưởng   |             |                          | ổng Giám đốc                            |                           |
| Hà Nội, Việt Nam                                              |                  |             |                          |                                         |                           |
