THUYẾT MINH BÁO CÁO TÀI CHÍNH HỢP NHẮT (tiếp theo) tại 31 tháng 12 năm 2024 và cho giai đoạn từ 1 tháng 1 năm 2024 đến 31 tháng 12 năm 2024

## 39. GIAO DỊCH VỚI CÁC BÊN LIÊN QUAN (tiếp theo)

## Giao dịch tiền gửi có kỳ hạn

Đơn vị: triệu đồng

| Bên liên quan                                 |         | Từ 1/1/2024 đến 31/12/2024 |                |                  |               |
|-----------------------------------------------|---------|----------------------------|----------------|------------------|---------------|
|                                               | Quan hệ | Số dư đầu kỳ               | Phát sinh tăng | (Phát sinh giảm) | Số dư cuối kỳ |
| Công ty Cổ phần Dịch vụ Di động trực tuyến    | (ii)    |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       |         | 50.000                     | -              | (50.000)         | -             |
| Lãi phải trả tiền gửi khách hàng              |         | 3.785                      | 727            | (4.512)          | -             |
| Công ty TNHH Đầu tư Sản xuất Phát triển       |         |                            |                |                  |               |
| Nông nghiệp WinEco                            | (iii)   |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       |         | -                          | 38.000         | (16.000)         | 22.000        |
| Lãi phải trả tiền gửi khách hàng              |         | -                          | 300            | (40)             | 260           |
| Công ty Cổ Phần TC Advisors                   | (ii)    |                            |                |                  |               |
| Số dữ tiền gửi có kỳ hạn của khách hàng       |         | -                          | 91.000         | (28.000)         | 63.000        |
| Lãi phải trả tiền gửi khách hàng              |         | -                          | 96             | (62)             | 34            |
| Công ty TNHH Hợp tác kinh doanh và phát triển |         |                            |                |                  |               |
| ISADO                                         | (iii)   |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       |         | 2.500                      | -              | -                | 2.500         |
| Lãi phải trả tiền gửi khách hàng              |         | 1                          | 61             | (61)             | 1             |
| Công ty Cổ phần Bột giặt NET                  | (iii)   |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       | . ,     | 228.800                    | 1.478.000      | (1.435.500)      | 271.300       |
| Lãi phải trả tiền gửi khách hàng              |         | 1.962                      | 8.819          | (9.686)          | 1.095         |
| Công ty Cổ phần Tập đoàn Masan                | (i)     |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       | ( )     | 190.000                    | 9.816.869      | (9.586.869)      | 420.000       |
| Lãi phải trả tiền gửi khách hàng              |         | 47                         | 32.370         | (31.727)         | 690           |
| Nhóm các công ty liên quan đến                |         |                            |                | , ,              |               |
| Công ty Cổ phần Tập đoàn Masan                | (iv)    |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       | ( )     | 3.202.473                  | 20.755.035     | (22.083.858)     | 1.873.650     |
| Lãi phải trả tiền gửi khách hàng              |         | 11.853                     | 73.793         | (79.666)         | 5.980         |
| Thành viên Hội đồng Quản trị, Ban Kiểm soát,  |         |                            |                | , ,              |               |
| Ban Lãnh đạo và các cá nhân liên quan khác    |         |                            |                |                  |               |
| Số dư tiền gửi có kỳ hạn của khách hàng       |         | 1.175.448                  | 455.917        | (446.198)        | 1.185.167     |
| Lãi phải trả tiền gửi khách hàng              |         | 14.301                     | 36.328         | (38.776)         | 11.853        |
| . 5                                           |         | 60                         |                | /                |               |
