Ngân hàng thương mại cổ phần Quốc Tế Việt Nam Báo cáo lưu chuyển tiền tệ hợp nhất cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024 (phương pháp trực tiếp)

## **Mẫu B04/TCTD-HN** (Ban hành theo Thông tư số 49/2014/TT-NHNN ngày 31 tháng 12 năm 2014 của Ngân hàng Nhà nước Việt Nam)

|                                                                                                          | Năm kết thúc ngày<br>31/12/2024<br>Triệu VND | Năm kết thúc ngày<br>31/12/2023<br>Triệu VND<br>(Phân loại lại) |
|----------------------------------------------------------------------------------------------------------|----------------------------------------------|-----------------------------------------------------------------|
| LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH                                                                  |                                              |                                                                 |
| Thu nhập lãi và các khoản thu nhập tương tự nhận được                                                    | 33.533.947                                   | 35.460.196                                                      |
| Chi phí lãi và các chi phí tương tự đã trả                                                               | (16.528.054)                                 | (17.726.445)                                                    |
| Thu nhập từ hoạt động dịch vụ nhận được<br>Chênh lệch số tiền thực thu từ hoạt động kinh doanh ngoại hối | 1.765.459                                    | 2.203.263                                                       |
| và chứng khoán                                                                                           | <b>782.52</b> 1                              | 665.975                                                         |
| Thu nhập khác nhận được                                                                                  | 53.056                                       | 96.477                                                          |
| Tiền thu các khoản nợ đã được xử lý, bù đắp bằng nguồn dự                                                |                                              |                                                                 |
| phòng rủi ro                                                                                             | 1.247.253                                    | 692.749                                                         |
| Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ                                                 | (7.236.019)                                  | (6.265.054)                                                     |
| Tiền thuế thu nhập doanh nghiệp thực nộp trong năm                                                       | (1.959.227)                                  | (2.328.881)                                                     |
|                                                                                                          |                                              |                                                                 |
| Lưu chuyển tiền thuần từ hoạt động kinh doanh trước<br>những thay đổi về tài sản và nợ hoạt động         | 11.658.936                                   | 12.798.280                                                      |
| Thay đổi về tài sản hoạt động                                                                            |                                              |                                                                 |
| (Tăng)/giảm các khoản tiền gửi và cho vay các TCTD khác                                                  | (43.925.557)                                 | 12.923.370                                                      |
| Glâm/(tăng) các khoản chứng khoán đầu tư                                                                 | 10.610.466                                   | (21.705.895)                                                    |
| Tăng các công cụ tài chính phái sinh và các tài sản tài chính                                            | . + . +                                      | <b>Y</b> ,                                                      |
| khác                                                                                                     | (665,151)                                    | (135.763)                                                       |
| Tăng các khoản cho vay khách hàng                                                                        | (57.656.519)                                 | (34.314.112)                                                    |
| Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắp tổn thất                                              | (2.941.305)                                  | (3.662.477)                                                     |
| Giảm khác về tài sản hoạt động                                                                           | 975.498                                      | 2.706.422                                                       |
| • • •                                                                                                    |                                              |                                                                 |
| Thay đổi về nợ hoạt động                                                                                 | 10 506 001                                   |                                                                 |
| Tăng các khoản nợ chính phủ và NHNN                                                                      | 18.586.891                                   | 27 472 200                                                      |
| Tăng tiền gửi và vay các TCTD khác                                                                       | 24.560.864                                   | 27.473.280                                                      |
| Tăng tiền gửi của khách hàng                                                                             | 39.731.056                                   | 36.453.326                                                      |
| Giảm phát hành giấy tờ có giá                                                                            | (634.357)                                    | (7.877.882)                                                     |
| Giảm vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tín dụng                                            | (1 563)                                      | (1.162)                                                         |
| chịu rủi ro                                                                                              | (1.562)<br>(1.791.751)                       | 5.160.843                                                       |
| (Giảm)/tăng khác về nợ hoạt động                                                                         | (1./31./31)                                  | 3.100.043                                                       |
| LƯU CHUYỂN TIỀN THUẦN TỪ HOẠT ĐỘNG KINH DOANH                                                            | (1.492.491)                                  | 29.818.230                                                      |

Mark of the second
