BÁO CÁO LƯU CHUYỂN TIÈN TỆ HỢP NHẤT Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024

|                                                                                                                                                                    | Thuyết<br>minh | Cho năm tài chính<br>kết thúc ngày<br>31 tháng 12<br>năm 2024 | Cho năm tài chính<br>kết thúc ngày<br>31 tháng 12<br>năm 2023 |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------|---------------------------------------------------------------|---------------------------------------------------------------|
| LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH                                                                                                                            |                | Triệu đồng                                                    | Triệu đồng                                                    |
| Thu nhập lãi và các khoản thu nhập tương tự                                                                                                                        |                |                                                               |                                                               |
| nhận được                                                                                                                                                          |                | 79.761.557                                                    | 75.607.344                                                    |
| Chi phí lãi và các chi phí tương tự đã trả                                                                                                                         |                | (34.127.232)                                                  | (33.563.210)                                                  |
| Thu nhập từ hoạt động dịch vụ nhận được<br>Chênh lệch số tiền thực thu/(thực chi) từ hoạt                                                                          |                | 6.885.044                                                     | 6.769.431                                                     |
| động kinh doanh chứng khoán, vàng bạc, ngoại tệ                                                                                                                    |                | 1.378.451                                                     | 504.746                                                       |
| Thu nhập/(Chi phí) khác<br>Tiền thu các khoản nợ đã được xử lý xóa,                                                                                                |                | (198.681)                                                     | 2.065.153                                                     |
| bù đắp bằng nguồn dự phòng rủi ro<br>Tiền chi trả cho nhân viên và hoạt động quản lý                                                                               |                | 5.574.886                                                     | 2.495.093                                                     |
| công vụ<br>Tiền thuế thu nhập thực nập trong v                                                                                                                     |                | (13.510.646)                                                  | (13.563.177)                                                  |
| Tiền thuế thu nhập thực nộp trong năm                                                                                                                              | 24.1           | (3.503.868)                                                   | (4.082.839)                                                   |
| Lưu chuyển tiền thuần từ hoạt động kinh<br>doanh trước những thay đổi về tài sản và                                                                                |                |                                                               |                                                               |
| nợ phải trả hoạt động                                                                                                                                              |                | 42.259.511                                                    | 36.232.541                                                    |
| Những thay đổi về tài sản hoạt động<br>(Tăng)/Giảm các khoản tiền gửi và cấp tín dụng<br>cho các tổ chức tín dụng khác                                             |                | 4.678.323                                                     | (5.581.091)                                                   |
| (Tăng)/Giảm các khoản về kinh doanh chứng khoán                                                                                                                    |                | 39.520.021                                                    | (15.071.380)                                                  |
| Tăng các khoản cho vay khách hàng và mua nợ<br>Giảm nguồn dự phòng để xử lý rủi ro, xử lý, bù<br>đấp tổn thất các khoản (tín dụng, chứng khoán,<br>đầu tư dài hạn) |                | (129.369.500)                                                 | (132.240.812)                                                 |
| Giảm khác về tài sản hoạt động                                                                                                                                     |                | (23.511.227)                                                  | (19.444.959)                                                  |
|                                                                                                                                                                    |                | 22.837.018                                                    | 1.051.359                                                     |
| Những thay đổi về nợ phải trả hoạt động<br>Tăng/(Giảm) các khoản nợ Chính phủ và Ngân<br>hàng Nhà nước Việt Nam                                                    |                | Non-tensor State Contract                                     |                                                               |
| Tăng các khoản tiền gửi, tiền vay từ các tổ chức tài chính, tổ chức tín dụng khác                                                                                  |                | (4.112.598)                                                   | 2.189.078                                                     |
| Tăng tiền gửi của khách hàng                                                                                                                                       |                | 45.399.770                                                    | 16.107.535                                                    |
| Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ                                                                                                                    |                | 43.298.167                                                    | 139.216.964                                                   |
| GTCG phát hành được tính vào hoạt động tài chính)<br>Giảm vốn tài trợ, ủy thác, cho vay tổ chức tín dụng<br>chịu rủi ro                                            |                | 19.188.392                                                    | (15.912.662)                                                  |
| Tăng/(Giảm) các công cụ tài chính phái sinh và các<br>khoản nợ tài chính khác                                                                                      |                | (11.151)                                                      | (25.005)                                                      |
|                                                                                                                                                                    |                | 27.665                                                        | (14.977)                                                      |
| Tăng/(Giảm) khác về công nợ hoạt động<br>Lưu chuyển tiền thuần từ hoạt động kinh                                                                                   |                | (2.888.206)                                                   | 4.952.988                                                     |
| doanh                                                                                                                                                              | _              | 57.316.185                                                    | 11.459.579                                                    |
