THUYÉT MINH BÁO CÁO TÀI CHÍNH HỢP NHẬT (tiếp theo) Tại ngày 31 tháng 12 năm 2024 và cho năm tải chính kết thúc cùng ngày

## 24. TÌNH HÌNH THỰC HIỆN NGHĨA VỤ VỚI NGÂN SÁCH NHÀ NƯỚC (tiếp theo)

## 24.1 Thuế thu nhập doanh nghiệp hiện hành

Ngân hàng có nghĩa vụ nộp thuế thu nhập doanh nghiệp ("TNDN") là 20% trên tổng lợi nhuận chịu thuế theo quy định của Thông tư số 78/2014/TT-BTC có hiệu lực ngày 2 tháng 8 năm 2014.

Các báo cáo thuế của Ngân hàng sẽ chịu sự kiểm tra của cơ quan thuế. Do việc áp dụng luật và các quy định về thuế đối với các loại nghiệp vụ khác nhau có thể được giải thích theo nhiều cách khác nhau, số thuế được trình bày trên báo cáo tài chính hợp nhất có thể sẽ thay đổi theo quyết định cuối cùng của cơ quan thuế.

Thuế thu nhập doanh nghiệp hiện hành phải trả được xác định dựa trên thu nhập chịu thuế trong kỳ. Thu nhập chịu thuế khác với thu nhập được báo cáo trong báo cáo kết quả hoạt động hợp nhất vì thu nhập chịu thuế không bao gồm các khoản mục thu nhập được tính thuế hay chi phi được khấu trừ trong các năm khác do có sự khác biệt giữa việc ghi nhận theo chính sách kế toán của Ngân hàng và các quy định thuế hiện hành, và cũng không bao gồm các khoản mục không phải chịu thuế hay không được khấu trừ cho mục đích tính thuế. Thuế thu nhập doanh nghiệp hiện hành phải trả của Ngân hàng được tính theo thuế suất đã ban hành đến ngày kết thúc năm tài chính.

Chi phi thuế TNDN trong năm được ước tính như sau:

|                                                       | Cho năm tải chính<br>kết thức ngày<br>31 tháng 12<br>năm 2024<br>Triệu đồng | Cho năm tài chính<br>kết thúc ngày<br>31 tháng 12<br>năm 2023<br>Triệu đồng |
|-------------------------------------------------------|-----------------------------------------------------------------------------|-----------------------------------------------------------------------------|
| Lọi nhuận thuần trước thuế TNDN<br>Cộng/trừ:          | 20.012.700                                                                  | 10.803.896                                                                  |
| - Lỗ từ Công ty con                                   | -                                                                           | 3.698.695                                                                   |
| - Thu nhập không chịu thuế                            | (12.854)                                                                    | (3.147)                                                                     |
| <ul> <li>Chi phí không được khấu trừ</li> </ul>       | 52.191                                                                      | 65.201                                                                      |
| <ul> <li>Điều chỉnh liên quan đến hợp nhất</li> </ul> | (273.708)                                                                   | 330.262                                                                     |
| - Các khoản điều chỉnh khác                           | (4.727)                                                                     | -                                                                           |
| Thu nhập chịu thuế ước tính trong năm                 | 19.773.602                                                                  | 14.894.907                                                                  |
| Chi phi thuế TNDN theo thuế suất hiện hành            | 3.954.720                                                                   | 2.978.981                                                                   |
| Điều chỉnh số thuế phải nộp các kỳ trước              | 8.059                                                                       | 5.034                                                                       |
| Chi phí thuế TNDN trong năm                           | 3.962.779                                                                   | 2.984.015                                                                   |
| Số thuế TNDN phải nộp phát sinh trong năm             | 3.962.779                                                                   | 2.984.015                                                                   |
| Thuế TNDN phải trả đầu năm                            | 1.861.402                                                                   | 2.960.226                                                                   |
| Thuế TNDN đã trả trong năm                            | (3.503.868)                                                                 | (4.082.839)                                                                 |
| Thuế TNDN phải trà cuối năm                           | 2.320.313                                                                   | 1.861.402                                                                   |
